group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
All,3463,537.71,473244.44,0.34,nh4,fev1,6,waist_circ,true
white,1173,534.37,427298.21,0.46,nh4,fev1,6,waist_circ,true
black,708,562.79,527982.89,0.09,nh4,fev1,6,waist_circ,true
asian,198,504.36,413874.56,0.38,nh4,fev1,6,waist_circ,true
hispanic,1230,523.71,483371.97,0.25,nh4,fev1,6,waist_circ,true
other,154,602.55,567000.88,0.17,nh4,fev1,6,waist_circ,true
All,46958,341.63,200414.60,0.63,ukb_val,fev1,6,immigrant,false
white,44562,340.03,199012.16,0.62,ukb_val,fev1,6,immigrant,false
black,609,396.68,247000.38,0.44,ukb_val,fev1,6,immigrant,false
asian,1051,365.80,223579.96,0.47,ukb_val,fev1,6,immigrant,false
other,736,358.01,213700.30,0.60,ukb_val,fev1,6,immigrant,false
All,46958,337.94,196578.20,0.63,ukb_val,fev1,7,immigrant,true
white,44562,338.05,197049.77,0.63,ukb_val,fev1,7,immigrant,true
black,609,327.96,176319.69,0.60,ukb_val,fev1,7,immigrant,true
asian,1051,314.77,165518.03,0.60,ukb_val,fev1,7,immigrant,true
other,736,372.19,229142.66,0.57,ukb_val,fev1,7,immigrant,true
All,7323,490.08,385404.61,0.47,nh,fev1,6,immigrant,false
white,2466,441.09,311890.50,0.62,nh,fev1,6,immigrant,false
black,1828,366.37,227670.91,0.62,nh,fev1,6,immigrant,false
asian,198,402.74,251339.68,0.62,nh,fev1,6,immigrant,false
hispanic,2489,637.98,587474.35,0.10,nh,fev1,6,immigrant,false
other,342,478.79,365569.10,0.47,nh,fev1,6,immigrant,false
All,7323,525.33,431637.34,0.40,nh,fev1,7,immigrant,true
white,2466,421.60,296132.44,0.64,nh,fev1,7,immigrant,true
black,1828,489.28,383337.75,0.36,nh,fev1,7,immigrant,true
asian,198,505.68,391273.22,0.41,nh,fev1,7,immigrant,true
hispanic,2489,660.26,609827.61,0.07,nh,fev1,7,immigrant,true
other,342,495.42,393401.18,0.43,nh,fev1,7,immigrant,true
All,3860,477.39,371881.40,0.49,nh3,fev1,6,immigrant,false
white,1293,418.27,286319.62,0.66,nh3,fev1,6,immigrant,false
black,1120,363.59,220960.31,0.64,nh3,fev1,6,immigrant,false
hispanic,1259,640.11,595192.70,0.09,nh3,fev1,6,immigrant,false
other,188,472.26,363977.48,0.47,nh3,fev1,6,immigrant,false
All,3860,519.46,426388.79,0.41,nh3,fev1,7,immigrant,true
white,1293,400.04,270863.84,0.68,nh3,fev1,7,immigrant,true
black,1120,485.64,373976.70,0.39,nh3,fev1,7,immigrant,true
hispanic,1259,678.21,640455.88,0.02,nh3,fev1,7,immigrant,true
other,188,479.04,374712.48,0.46,nh3,fev1,7,immigrant,true
All,3463,486.24,377859.55,0.47,nh4,fev1,6,immigrant,false
white,1173,431.91,307096.20,0.61,nh4,fev1,6,immigrant,false
black,708,541.93,438025.57,0.25,nh4,fev1,6,immigrant,false
asian,198,456.46,322189.48,0.52,nh4,fev1,6,immigrant,false
hispanic,1230,516.97,426752.23,0.33,nh4,fev1,6,immigrant,false
other,154,436.85,321317.68,0.53,nh4,fev1,6,immigrant,false
All,3463,487.40,367139.46,0.49,nh4,fev1,7,immigrant,true
white,1173,524.71,404337.34,0.49,nh4,fev1,7,immigrant,true
black,708,491.98,359248.25,0.38,nh4,fev1,7,immigrant,true
asian,198,528.21,413779.74,0.38,nh4,fev1,7,immigrant,true
hispanic,1230,439.11,325395.87,0.49,nh4,fev1,7,immigrant,true
other,154,515.23,393527.11,0.43,nh4,fev1,7,immigrant,true
All,46958,341.80,200635.37,0.63,ukb_val,fev1,7,hs_grad,false
white,44562,340.29,199295.67,0.62,ukb_val,fev1,7,hs_grad,false
black,609,391.11,243551.22,0.44,ukb_val,fev1,7,hs_grad,false
asian,1051,365.59,221691.02,0.47,ukb_val,fev1,7,hs_grad,false
other,736,358.47,216171.26,0.59,ukb_val,fev1,7,hs_grad,false
All,46958,338.12,196802.38,0.63,ukb_val,fev1,8,hs_grad,true
white,44562,338.35,197387.96,0.63,ukb_val,fev1,8,hs_grad,true
black,609,329.62,180390.09,0.59,ukb_val,fev1,8,hs_grad,true
asian,1051,315.63,167498.27,0.60,ukb_val,fev1,8,hs_grad,true
other,736,363.38,216774.02,0.59,ukb_val,fev1,8,hs_grad,true
All,7323,487.79,384560.75,0.47,nh,fev1,7,hs_grad,false
white,2466,437.16,310711.68,0.62,nh,fev1,7,hs_grad,false
black,1828,359.52,219146.16,0.63,nh,fev1,7,hs_grad,false
asian,198,384.78,229080.56,0.66,nh,fev1,7,hs_grad,false
hispanic,2489,644.14,598451.73,0.09,nh,fev1,7,hs_grad,false
other,342,460.34,334561.23,0.52,nh,fev1,7,hs_grad,false
All,7323,522.43,423233.16,0.41,nh,fev1,8,hs_grad,true
white,2466,415.31,284709.21,0.65,nh,fev1,8,hs_grad,true
black,1828,489.59,381531.03,0.36,nh,fev1,8,hs_grad,true
asian,198,505.91,384564.20,0.42,nh,fev1,8,hs_grad,true
hispanic,2489,660.75,603374.98,0.08,nh,fev1,8,hs_grad,true
other,342,473.33,356318.09,0.49,nh,fev1,8,hs_grad,true
All,3860,484.37,384396.17,0.47,nh3,fev1,7,hs_grad,false
white,1293,422.54,295431.77,0.65,nh3,fev1,7,hs_grad,false
black,1120,361.52,219584.00,0.64,nh3,fev1,7,hs_grad,false
hispanic,1259,661.05,629760.02,0.04,nh3,fev1,7,hs_grad,false
other,188,458.28,334968.14,0.51,nh3,fev1,7,hs_grad,false
All,3860,520.54,424739.80,0.41,nh3,fev1,8,hs_grad,true
white,1293,398.23,266122.28,0.68,nh3,fev1,8,hs_grad,true
black,1120,490.43,382812.89,0.37,nh3,fev1,8,hs_grad,true
hispanic,1259,682.09,637223.19,0.02,nh3,fev1,8,hs_grad,true
other,188,459.31,342473.92,0.50,nh3,fev1,8,hs_grad,true
All,3463,530.03,457700.73,0.36,nh4,fev1,7,hs_grad,false
white,1173,464.38,355365.32,0.55,nh4,fev1,7,hs_grad,false
black,708,538.11,435901.80,0.25,nh4,fev1,7,hs_grad,false
asian,198,442.36,314859.91,0.53,nh4,fev1,7,hs_grad,false
hispanic,1230,601.22,589725.72,0.08,nh4,fev1,7,hs_grad,false
other,154,537.02,466563.25,0.32,nh4,fev1,7,hs_grad,false
All,3463,448.54,329642.79,0.54,nh4,fev1,8,hs_grad,true
white,1173,455.87,329737.88,0.58,nh4,fev1,8,hs_grad,true
black,708,417.06,289454.77,0.50,nh4,fev1,8,hs_grad,true
asian,198,438.93,333546.27,0.50,nh4,fev1,8,hs_grad,true
hispanic,1230,458.77,350225.40,0.45,nh4,fev1,8,hs_grad,true
other,154,468.13,344266.61,0.50,nh4,fev1,8,hs_grad,true
All,46958,341.43,200344.88,0.63,ukb_val,fev1,8,smoke_exposure,false
white,44562,339.91,198976.68,0.62,ukb_val,fev1,8,smoke_exposure,false
black,609,389.41,243883.64,0.44,ukb_val,fev1,8,smoke_exposure,false
asian,1051,365.97,222900.87,0.47,ukb_val,fev1,8,smoke_exposure,false
other,736,358.76,214948.30,0.60,ukb_val,fev1,8,smoke_exposure,false
All,46958,338.42,197102.50,0.63,ukb_val,fev1,9,smoke_exposure,true
white,44562,338.62,197668.08,0.63,ukb_val,fev1,9,smoke_exposure,true
black,609,327.29,176244.60,0.60,ukb_val,fev1,9,smoke_exposure,true
asian,1051,317.72,168187.99,0.60,ukb_val,fev1,9,smoke_exposure,true
other,736,365.27,221406.81,0.58,ukb_val,fev1,9,smoke_exposure,true
All,7323,498.23,404610.39,0.44,nh,fev1,8,smoke_exposure,false
white,2466,436.87,310642.32,0.62,nh,fev1,8,smoke_exposure,false
black,1828,364.09,228274.52,0.62,nh,fev1,8,smoke_exposure,false
asian,198,395.77,245100.68,0.63,nh,fev1,8,smoke_exposure,false
hispanic,2489,668.48,645648.20,0.01,nh,fev1,8,smoke_exposure,false
other,342,477.93,362818.06,0.48,nh,fev1,8,smoke_exposure,false
All,7323,523.35,425096.37,0.41,nh,fev1,9,smoke_exposure,true
white,2466,418.72,286502.22,0.65,nh,fev1,9,smoke_exposure,true
black,1828,490.15,386887.88,0.36,nh,fev1,9,smoke_exposure,true
asian,198,513.42,399543.06,0.40,nh,fev1,9,smoke_exposure,true
hispanic,2489,658.94,601597.32,0.08,nh,fev1,9,smoke_exposure,true
other,342,474.08,358917.95,0.48,nh,fev1,9,smoke_exposure,true
All,3860,491.62,402008.13,0.45,nh3,fev1,8,smoke_exposure,false
white,1293,416.78,288493.41,0.65,nh3,fev1,8,smoke_exposure,false
black,1120,365.63,225980.26,0.63,nh3,fev1,8,smoke_exposure,false
hispanic,1259,682.83,678544.65,-0.04,nh3,fev1,8,smoke_exposure,false
other,188,476.55,379488.27,0.45,nh3,fev1,8,smoke_exposure,false
All,3860,523.28,431965.75,0.40,nh3,fev1,9,smoke_exposure,true
white,1293,404.33,272137.00,0.67,nh3,fev1,9,smoke_exposure,true
black,1120,494.00,396442.14,0.35,nh3,fev1,9,smoke_exposure,true
hispanic,1259,680.99,638906.97,0.02,nh3,fev1,9,smoke_exposure,true
other,188,459.66,356997.86,0.48,nh3,fev1,9,smoke_exposure,true
All,3463,480.36,380021.04,0.47,nh4,fev1,8,smoke_exposure,false
white,1173,416.72,288718.82,0.63,nh4,fev1,8,smoke_exposure,false
black,708,571.85,488305.96,0.16,nh4,fev1,8,smoke_exposure,false
asian,198,402.28,271371.47,0.59,nh4,fev1,8,smoke_exposure,false
hispanic,1230,508.71,432777.28,0.32,nh4,fev1,8,smoke_exposure,false
other,154,418.50,295957.51,0.57,nh4,fev1,8,smoke_exposure,false
All,3463,413.53,289825.82,0.60,nh4,fev1,9,smoke_exposure,true
white,1173,381.09,244970.04,0.69,nh4,fev1,9,smoke_exposure,true
black,708,412.67,286738.11,0.51,nh4,fev1,9,smoke_exposure,true
asian,198,368.15,258770.70,0.61,nh4,fev1,9,smoke_exposure,true
hispanic,1230,451.99,341327.63,0.47,nh4,fev1,9,smoke_exposure,true
other,154,415.72,274264.77,0.60,nh4,fev1,9,smoke_exposure,true
