target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper
fev1,demographics,poverty_ratio,poverty_ratio,Intercept,4957.829390585073,61.08817556734175,81.15857683652236,0.0,4838.017343468772,5077.641437701374
fev1,demographics,poverty_ratio,poverty_ratio,sex[T.True],-926.9542722026825,24.09418731553671,-38.47211196888772,3.2573337572833295e-236,-974.2101262049972,-879.6984182003679
fev1,demographics,poverty_ratio,poverty_ratio,age,-29.16793031541723,1.0734423034909277,-27.172331685234116,2.5911497985644036e-136,-31.273269338035586,-27.062591292798874
fev1,demographics,poverty_ratio,poverty_ratio,poverty_ratio,60.05136835594115,11.699505607710242,5.132812476825168,3.1663904791022917e-07,37.10516470703415,82.99757200484815
fev1,NA,mineral_dust,mineral_dust,Intercept,4969.8668389603445,61.3091597515178,81.06238707401806,0.0,4849.621376256811,5090.112301663878
fev1,NA,mineral_dust,mineral_dust,sex[T.True],-910.2725129977528,25.387160653215084,-35.855625031563896,2.040650935693853e-212,-960.0642715514036,-860.4807544441019
fev1,NA,mineral_dust,mineral_dust,age,-29.572453029315525,1.080263172328265,-27.375230209485654,5.1996034101116334e-138,-31.69116980058857,-27.453736258042483
fev1,NA,mineral_dust,mineral_dust,mineral_dust,38.55850544821975,12.329477846273969,3.127342936089733,0.001792465242622887,14.376739223940792,62.74027167249871
fev1,demographics,priv_ins,priv_ins,Intercept,4896.609859430946,62.98731489910393,77.7396189577944,0.0,4773.073036300559,5020.146682561333
fev1,demographics,priv_ins,priv_ins,sex[T.True],-933.6162154091032,24.0635173520145,-38.797994563789096,3.4363174517668502e-239,-980.8119165081687,-886.4205143100378
fev1,demographics,priv_ins,priv_ins,priv_ins[T.True],115.13918109603485,23.484491267882255,4.902775188215421,1.0307907300348524e-06,69.07912203946495,161.19924015260474
fev1,demographics,priv_ins,priv_ins,age,-29.128595195516596,1.0744827221321431,-27.109412367018287,8.686520465406888e-136,-31.23597478795234,-27.02121560308085
fev1,NA,age,,Intercept,4972.392992652159,61.45468089213959,80.91154197642504,0.0,4851.862165788824,5092.923819515493
fev1,NA,age,,sex[T.True],-934.6762435369074,24.217583531615034,-38.59494248535272,2.2803539171102332e-237,-982.174096024671,-887.1783910491437
fev1,NA,age,,age,-29.345958946304055,1.0804847795961188,-27.15999290362375,3.1979424660337053e-136,-31.465109546508792,-27.226808346099318
fev1,NA,other_fumes,other_fumes,Intercept,4973.217518278185,61.47735581703326,80.8951109263596,0.0,4852.642173158961,5093.792863397409
fev1,NA,other_fumes,other_fumes,sex[T.True],-931.0689545132889,24.837808051212406,-37.48595498417344,3.2060971977018513e-227,-979.7832695318639,-882.3546394947139
fev1,NA,other_fumes,other_fumes,age,-29.40117035317307,1.0839299571478505,-27.124603540376814,6.487107360933184e-136,-31.527078778010644,-27.2752619283355
fev1,NA,other_fumes,other_fumes,other_fumes,7.920502550181478,12.073883110914602,0.6560029178203214,0.5119069832245093,-15.759966521397335,31.60097162176029
fev1,anthropometrics,height,,Intercept,4438.0625628749185,58.64600359276308,75.67544744724218,0.0,4323.040339991652,4553.084785758185
fev1,anthropometrics,height,,sex[T.True],-491.6473089101012,28.601667615072078,-17.189463059525252,2.161666462904003e-61,-547.7436698846432,-435.5509479355592
fev1,anthropometrics,height,,age,-24.596436131025875,0.9697384241316026,-25.363990452427313,1.999459454698563e-121,-26.498381060359424,-22.694491201692326
fev1,anthropometrics,height,,height,328.0995622805392,14.18381938716421,23.13196137970117,9.903946709280161e-104,300.2808818088878,355.9182427521906
fev1,NA,exhaust_fumes,exhaust_fumes,Intercept,4970.556325386465,61.45293582082765,80.8839522309989,0.0,4850.028875129197,5091.083775643732
fev1,NA,exhaust_fumes,exhaust_fumes,sex[T.True],-924.048838988377,25.39255685916883,-36.39053932667353,2.9029960368062115e-217,-973.8511811038379,-874.2464968729162
fev1,NA,exhaust_fumes,exhaust_fumes,age,-29.431231102946022,1.0819484850572365,-27.202063230754533,1.4624151762227281e-136,-31.553253272787835,-27.30920893310421
fev1,NA,exhaust_fumes,exhaust_fumes,exhaust_fumes,17.115238012697738,12.327884070493804,1.3883354122109435,0.16520855315052088,-7.063402344143004,41.293878369538476
fev1,NA,born_us,born_us,Intercept,4900.9810935885525,60.2664051912984,81.32194176891413,0.0,4782.780782133022,5019.1814050440835
fev1,NA,born_us,born_us,sex[T.True],-934.6641177074962,23.57979277008711,-39.638351652233084,7.093656463879802e-247,-980.9110913013948,-888.4171441135976
fev1,NA,born_us,born_us,born_us[T.True],233.94976048484176,23.548127072419316,9.934962545656331,1.1266639388307839e-22,187.76489272444877,280.13462824523475
fev1,NA,born_us,born_us,age,-30.606569813142315,1.0596536046241574,-28.883561269060174,8.77700226229217e-151,-32.684865103926235,-28.52827452235839
fev1,demographics,eng_lang,eng_lang,Intercept,4887.618231090102,63.373685225132256,77.12378116764161,0.0,4763.323621051258,5011.912841128947
fev1,demographics,eng_lang,eng_lang,sex[T.True],-930.3580111749737,24.072837721766195,-38.64762525831186,8.126609723192278e-238,-977.5719922859967,-883.1440300639508
fev1,demographics,eng_lang,eng_lang,eng_lang[T.True],135.57168142170022,27.204809042755528,4.983371918127913,6.854766756984028e-07,82.2149747833187,188.92838806008174
fev1,demographics,eng_lang,eng_lang,age,-29.712168188757097,1.0758434962947943,-27.617556169727127,4.807335825500185e-140,-31.822216663289517,-27.602119714224678
fev1,exposures,work_air,work_air,Intercept,4951.338201621027,64.19347152524199,77.13149147377199,0.0,4825.435747283317,5077.240655958737
