cohort,target,feature,importance,r2
nh,fev1,weight,-94.0760043228387,0.5913172569296985
nh,fev1,waist_circ,-189.61026541379027,0.5913172569296985
nh,fev1,arm_circ,36.56888050366502,0.5913172569296985
nh,fev1,arm_len,-121.92363429333706,0.5913172569296985
nh,fev1,height,665.656629899569,0.5913172569296985
nh,fev1,bmi,173.39165941651237,0.5913172569296985
nh,fev1,sit_height,136.79030781208633,0.5913172569296985
nh,fev1,leg_len,-20.857019139564965,0.5913172569296985
nh,fev1,veteran,87.55203501857447,0.5913172569296985
nh,fev1,married,70.02217408829681,0.5913172569296985
nh,fev1,hh_size,59.74967730464203,0.5913172569296985
nh,fev1,immigrant,-102.9007816150843,0.5913172569296985
nh,fev1,inc_pov_bin,-2.5029918397578346,0.5913172569296985
nh,fev1,priv_ins,177.86113292574635,0.5913172569296985
nh,fev1,eng_lang,-203.58993899686044,0.5913172569296985
nh,fev1,mil_health,-26.49822495455899,0.5913172569296985
nh,fev1,hs_grad,6.804930554634612,0.5913172569296985
nh,fev1,health_ins,-253.76684062763576,0.5913172569296985
nh,fev1,smoke_exposure,46.929584031701786,0.5913172569296985
nh,fvc,weight,-121.58002748241145,0.6196306516605232
nh,fvc,waist_circ,-207.73149237695029,0.6196306516605232
nh,fvc,arm_circ,30.47724700458033,0.6196306516605232
nh,fvc,arm_len,-123.29925870520135,0.6196306516605232
nh,fvc,height,849.470465041401,0.6196306516605232
nh,fvc,bmi,176.44381300315976,0.6196306516605232
nh,fvc,sit_height,179.71289425132758,0.6196306516605232
nh,fvc,leg_len,-41.73286178127345,0.6196306516605232
nh,fvc,veteran,131.12620686930907,0.6196306516605232
nh,fvc,married,86.79133587178436,0.6196306516605232
nh,fvc,hh_size,53.272403567643934,0.6196306516605232
nh,fvc,immigrant,-148.119355478153,0.6196306516605232
nh,fvc,inc_pov_bin,13.263999144606391,0.6196306516605232
nh,fvc,priv_ins,215.987850475122,0.6196306516605232
nh,fvc,eng_lang,-283.02061504126686,0.6196306516605232
nh,fvc,mil_health,-40.618332046723054,0.6196306516605232
nh,fvc,hs_grad,-6.657141402888415,0.6196306516605232
nh,fvc,health_ins,-297.37270312939813,0.6196306516605232
nh,fvc,smoke_exposure,31.535163132797745,0.6196306516605232
