cohort,target,feature,importance,r2
ukb,fev1,weight,-181.09074258762345,0.5536715571884973
ukb,fev1,waist_circ,-22.504505231286043,0.5536715571884973
ukb,fev1,height,539.3374030996888,0.5536715571884973
ukb,fev1,hip_circ,-173.71778021047635,0.5536715571884973
ukb,fev1,bmi,269.60364686312425,0.5536715571884973
ukb,fev1,sit_height,114.82799585843235,0.5536715571884973
ukb,fev1,veteran,0.0,0.5536715571884973
ukb,fev1,immigrant,-164.5130559121514,0.5536715571884973
ukb,fev1,inc_pov_bin,10.128970730284228,0.5536715571884973
ukb,fev1,income_category,61.50209644536598,0.5536715571884973
ukb,fev1,hs_grad,19.330503865481788,0.5536715571884973
ukb,fev1,pm10,-11.810620048951735,0.5536715571884973
ukb,fev1,pm2p5,18.43683263021442,0.5536715571884973
ukb,fev1,pm2p5_10,1.991982624489694e-13,0.5536715571884973
ukb,fev1,work_breath_problems,-25.102282659876536,0.5536715571884973
ukb,fev1,smoke_exposure,4.905801920827308,0.5536715571884973
ukb,fev1,work_air,-3.0128352862434733,0.5536715571884973
ukb,fev1,work_fumes,56.58104666973771,0.5536715571884973
ukb,fev1,work_exhaust,87.04419214533331,0.5536715571884973
ukb,fvc,weight,-287.93478857481676,0.5859741216157865
ukb,fvc,waist_circ,-18.484282193259805,0.5859741216157865
ukb,fvc,height,733.5201075438956,0.5859741216157865
ukb,fvc,hip_circ,-198.14647285883365,0.5859741216157865
ukb,fvc,bmi,337.10600788380094,0.5859741216157865
ukb,fvc,sit_height,148.70867404007564,0.5859741216157865
ukb,fvc,veteran,0.0,0.5859741216157865
ukb,fvc,immigrant,-239.17751358474288,0.5859741216157865
ukb,fvc,inc_pov_bin,7.854358946334211,0.5859741216157865
ukb,fvc,income_category,62.96216028958919,0.5859741216157865
ukb,fvc,hs_grad,18.418906012726115,0.5859741216157865
ukb,fvc,pm10,-17.81226050198063,0.5859741216157865
ukb,fvc,pm2p5,24.659915509204872,0.5859741216157865
ukb,fvc,pm2p5_10,1.1785365968050716e-15,0.5859741216157865
ukb,fvc,work_breath_problems,-28.572949431507535,0.5859741216157865
ukb,fvc,smoke_exposure,8.113629653931866,0.5859741216157865
ukb,fvc,work_air,-6.405570944993758,0.5859741216157865
ukb,fvc,work_fumes,72.28101897181013,0.5859741216157865
ukb,fvc,work_exhaust,110.87364179801885,0.5859741216157865
