cohort,target,feature,importance,r2
nh3,fev1,weight,-99.62691541782605,0.541412222853561
nh3,fev1,waist_circ,-102.0030120350995,0.541412222853561
nh3,fev1,arm_circ,-25.398007243632826,0.541412222853561
nh3,fev1,arm_len,26.504657253034384,0.541412222853561
nh3,fev1,height,194.11708976733726,0.541412222853561
nh3,fev1,bmi,124.51578489953106,0.541412222853561
nh3,fev1,sit_height,424.1493464497916,0.541412222853561
nh3,fev1,leg_len,6.761608990518403,0.541412222853561
nh3,fev1,veteran,152.29990001800135,0.541412222853561
nh3,fev1,married,85.29114902047475,0.541412222853561
nh3,fev1,hh_size,53.70578425006337,0.541412222853561
nh3,fev1,immigrant,-14.354564603029837,0.541412222853561
nh3,fev1,inc_pov_bin,18.305727903808716,0.541412222853561
nh3,fev1,priv_ins,107.3137452974725,0.541412222853561
nh3,fev1,eng_lang,-198.73865044079767,0.541412222853561
nh3,fev1,mil_health,-92.2484270009522,0.541412222853561
nh3,fev1,hs_grad,112.95862921053902,0.541412222853561
nh3,fev1,health_ins,-251.74143743262096,0.541412222853561
nh3,fev1,smoke_exposure,37.94649184316968,0.541412222853561
nh3,fev1,work_mask,139.71538122091567,0.541412222853561
nh3,fvc,weight,-204.94719664801724,0.5595915131941667
nh3,fvc,waist_circ,-89.74667530089302,0.5595915131941667
nh3,fvc,arm_circ,-35.76727719337865,0.5595915131941667
nh3,fvc,arm_len,63.636171775892144,0.5595915131941667
nh3,fvc,height,268.1015014973865,0.5595915131941667
nh3,fvc,bmi,176.9543667457772,0.5595915131941667
nh3,fvc,sit_height,541.0806385393569,0.5595915131941667
nh3,fvc,leg_len,0.664504267004983,0.5595915131941667
nh3,fvc,veteran,239.59935265113188,0.5595915131941667
nh3,fvc,married,116.0070285894691,0.5595915131941667
nh3,fvc,hh_size,52.26242390720222,0.5595915131941667
nh3,fvc,immigrant,-13.202515298320051,0.5595915131941667
nh3,fvc,inc_pov_bin,18.175211975248576,0.5595915131941667
nh3,fvc,priv_ins,119.86078494159241,0.5595915131941667
nh3,fvc,eng_lang,-234.64769095891808,0.5595915131941667
nh3,fvc,mil_health,-114.50189756801214,0.5595915131941667
nh3,fvc,hs_grad,134.74106319483352,0.5595915131941667
nh3,fvc,health_ins,-249.7410361571801,0.5595915131941667
nh3,fvc,smoke_exposure,25.496852985595954,0.5595915131941667
nh3,fvc,work_mask,140.973932163346,0.5595915131941667
