target,group,cov,val,index,coef,std_err,t,p>|t|,[0.025,0.975],mse,rss,n_vars
fev1,baseline,baseline,,Intercept,5562.585348807143,14.009953148994729,397.04524987696203,0.0,5535.126132867356,5590.0445647469305,244592.644180226,38285108222.954056,0
fev1,baseline,baseline,,sex[T.True],-1302.982542128848,18.314352822460926,-71.14543193308234,0.0,-1338.8782916435773,-1267.0867926141188,244592.644180226,38285108222.954056,0
fev1,baseline,baseline,,race_1[T.True],-637.7722238592195,11.081694979095213,-57.55186594310067,0.0,-659.4921148662544,-616.0523328521846,244592.644180226,38285108222.954056,0
fev1,baseline,baseline,,race_2[T.True],-745.4290986210214,8.471477779664598,-87.99280574286466,0.0,-762.0330183634376,-728.8251788786051,244592.644180226,38285108222.954056,0
fev1,baseline,baseline,,race_3[T.True],2.1474818970862772e-12,9.029911308448873e-14,23.781871424107756,8.580193067899083e-125,1.9704975189810473e-12,2.3244662751915072e-12,244592.644180226,38285108222.954056,0
fev1,baseline,baseline,,race_4[T.True],-322.26772914864875,10.08522397930536,-31.954444423835753,2.468227797680882e-223,-342.0345577813867,-302.5009005159108,244592.644180226,38285108222.954056,0
fev1,baseline,baseline,,age,-37.61127704060015,0.24168217890752414,-155.62288130061717,0.0,-38.084969070033964,-37.13758501116634,244592.644180226,38285108222.954056,0
fev1,baseline,baseline,,sex[T.True]:age,6.441964495875034,0.3175829956792087,20.284349551202283,2.3187147708275754e-91,5.819508448776429,7.064420542973639,244592.644180226,38285108222.954056,0
fev1,anthropometrics,height,,Intercept,-556.4993438251422,35.702268767584066,-15.587226331409411,9.776814081892064e-55,-626.475045902932,-486.52364174735237,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,sex[T.True],-885.2739796844937,16.77107555404754,-52.78576062886088,0.0,-918.1449379458263,-852.4030214231611,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,race_1[T.True],-575.2346031696469,10.059661363908235,-57.18230289872949,0.0,-594.9513296103887,-555.5178767289051,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,race_2[T.True],-535.9628781210098,7.770148627659339,-68.97717196980594,0.0,-551.1922073552043,-520.7335488868152,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,race_3[T.True],2.406977057228193e-13,1.5644609426483588e-14,15.385344508208698,2.2464913573486485e-53,2.1003459757477432e-13,2.7136081387086424e-13,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,race_4[T.True],-226.86090528832176,9.164606409394882,-24.754025994587245,5.1131067263530707e-135,-244.82334268799448,-208.89846788864904,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,age,-32.89242758503263,0.22077077122721492,-148.9890505078686,0.0,-33.32513369162343,-32.45972147844183,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,sex[T.True]:age,6.762600398453675,0.28813285631955843,23.47042432034722,1.3289025923543854e-121,6.197866010174507,7.327334786732844,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,height,,height,33.26754973243066,0.18138454116568228,183.40895822011117,0.0,32.91203981521076,33.62305964965056,201324.07691902117,31512452463.826706,8
fev1,anthropometrics,waist_circ,,Intercept,-206.39927127875094,35.70629879030229,-5.7804723052059455,7.46320116555225e-09,-276.38287212046475,-136.4156704370371,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,sex[T.True],-957.1097858985553,16.605273103101194,-57.638906626582724,0.0,-989.6557748160822,-924.5637969810284,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,race_1[T.True],-550.5075914421125,9.944209930601845,-55.35961079703338,0.0,-569.9980354827157,-531.0171474015092,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,race_2[T.True],-531.8737813487834,7.675176396075722,-69.29792279702232,0.0,-546.9169669908246,-516.8305957067422,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,race_3[T.True],-4.51993179468192e-13,4.480590054658486e-14,-10.087804819328495,6.361612245966902e-24,-5.39811809946279e-13,-3.64174548990105e-13,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,race_4[T.True],-220.05221322838156,9.052916394507273,-24.307328560097506,2.865622456821409e-130,-237.79574052947152,-202.3086859272916,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,age,-31.89940921730171,0.21864191998960908,-145.89795597668427,0.0,-32.327942819893266,-31.470875614710152,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,sex[T.True]:age,6.901168946724289,0.2846093902382656,24.247861045437954,1.2103922270025344e-129,6.3433404784416005,7.458997415006978,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,height,34.35199700218855,0.17999844469436913,190.8460768120358,0.0,33.999203805122676,34.70479019925442,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,waist_circ,,waist_circ,-6.219467185388581,0.09946244588819911,-62.53080878766626,0.0,-6.414411504671284,-6.024522866105878,196417.1897699501,30744397045.931213,9
fev1,anthropometrics,sit_height,,Intercept,-399.32017727552005,36.81365391609391,-10.84706718288967,2.1060786727682316e-27,-471.4741710693527,-327.1661834816874,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,sex[T.True],-961.5788828247524,16.583201957269182,-57.98511561895609,0.0,-994.0816127584301,-929.0761528910748,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,race_1[T.True],-521.4107298574856,10.025816178488258,-52.006811273504375,0.0,-541.0611204427162,-501.76033927225507,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,race_2[T.True],-515.5343148696192,7.703509640569688,-66.92200554337133,0.0,-530.6330330806196,-500.4355966586187,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,race_3[T.True],-8.217483978191291e-14,4.478507418472215e-14,-1.8348711323547564,0.06652668259224048,-1.6995265102949697e-13,5.602971465671166e-15,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,race_4[T.True],-212.04556115212873,9.048132781579074,-23.435283971940414,3.0255797661446708e-121,-229.77971267253562,-194.31140963172183,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,age,-31.49396661182554,0.21918041294429322,-143.68969466185845,0.0,-31.923555649397237,-31.064377574253847,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,sex[T.True]:age,7.038695483947523,0.28428282796606347,24.75948172566995,4.468517441513775e-135,6.481507070879153,7.595883897015892,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,height,30.23506425149504,0.26554848886527327,113.85892038284156,0.0,29.714594752291916,30.755533750698163,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,waist_circ,-6.314515667791155,0.09942458216572372,-63.51060804324971,0.0,-6.509385774977223,-6.119645560605087,195862.07122476527,30657506560.527607,10
fev1,anthropometrics,sit_height,,sit_height,9.740615564966193,0.46247614509012175,21.061876744081708,2.4391620421630035e-98,8.834171967199875,10.64705916273251,195862.07122476527,30657506560.527607,10
fev1,demographics,income_category,,Intercept,-416.97439327432846,36.815530362185704,-11.326046078168547,1.001441491176953e-29,-489.13206486692616,-344.81672168173077,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,sex[T.True],-962.638492518211,16.57378114682415,-58.08200820261651,0.0,-995.1227578615265,-930.1542271748956,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,race_1[T.True],-515.0739517165026,10.030982123200078,-51.348307213629454,0.0,-534.7344674465853,-495.4134359864199,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,race_2[T.True],-514.0624823639444,7.699817976623125,-66.76293958177365,0.0,-529.1539649913582,-498.97099973653053,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,race_3[T.True],-8.376689770267813e-12,3.125305620222417e-13,-26.802785993363663,6.835989845211649e-158,-8.989243152908043e-12,-7.764136387627584e-12,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,race_4[T.True],-209.70546209900456,9.04455032112931,-23.185836183486515,1.0046358164018035e-118,-227.43259207253095,-191.97833212547818,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,age,-30.905404267282535,0.22334412871571632,-138.37571842607286,0.0,-31.343154100938516,-30.467654433626553,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,sex[T.True]:age,7.0571131665714155,0.2841214179645804,24.83837092299455,6.345695835415857e-136,6.50024111371165,7.613985219431181,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,height,30.002281834285554,0.2659534848846781,112.8102602125896,0.0,29.481018551306295,30.523545117264813,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,waist_circ,-6.191402986691155,0.0997840265605777,-62.04803714683159,0.0,-6.3869775974032885,-5.995828375979021,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,sit_height,9.573069966660206,0.4623746088952979,20.704142880016956,4.2661320910405875e-95,8.666825377673062,10.47931455564735,195633.96665803008,30621802265.11482,11
fev1,demographics,income_category,,income_category,0.0006414012389410003,4.747958912521998e-05,13.508988825691079,1.4605037691182013e-41,0.0005483422346092833,0.0007344602432727173,195633.96665803008,30621802265.11482,11
fev1,demographics,hs_grad,,Intercept,-403.54749034552725,36.83908640272159,-10.95432948401549,6.484357176312099e-28,-475.7513312897988,-331.3436494012557,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,sex[T.True],-969.9364477444046,16.59104479128527,-58.46144470985217,0.0,-1002.4545494723766,-937.4183460164327,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,race_1[T.True],-517.5586047861361,10.032654519552933,-51.58740428841151,0.0,-537.2223983791583,-497.8948111931139,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,race_2[T.True],-516.4504271545612,7.70287243087853,-67.04647283061118,0.0,-531.5478964493502,-501.35295785977223,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,race_3[T.True],1.8269094698493346e-12,1.5047879758239484e-13,12.140643726562264,6.661896237647443e-34,1.5319741653375e-12,2.121844774361169e-12,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,race_4[T.True],-212.1541640396883,9.046771694591495,-23.450814412230848,2.1035874203185828e-121,-229.88564785974214,-194.4226802196345,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,hs_grad[T.True],20.617997738974232,2.3697510389121716,8.700491064427963,3.3356873720264024e-18,15.973335131964088,25.262660345984376,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,age,-30.967339112705243,0.22340429237845214,-138.61568541505838,0.0,-31.405206865906898,-30.52947135950359,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,sex[T.True]:age,7.1837989740124835,0.28442659422547656,25.25712827091546,1.812075420590129e-140,6.626328782019341,7.741269166005626,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,height,29.882372372732977,0.2662469835026451,112.2355340128618,0.0,29.360533838558666,30.404210906907288,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,waist_circ,-6.122498622879236,0.10007408348686667,-61.17966220178004,0.0,-6.318641739126432,-5.926355506632041,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,sit_height,9.537697453099543,0.4622821894928076,20.63176490438409,1.9030039303450148e-94,8.631634004168781,10.443760902030306,195539.393344956,30606999082.712585,12
fev1,demographics,hs_grad,,income_category,0.0005409175241784368,4.885304525561265e-05,11.072339940083708,1.7509758898862381e-28,0.0004451665744746743,0.0006366684738821993,195539.393344956,30606999082.712585,12
fev1,demographics,immigrant,,Intercept,-399.0150205943404,36.83351931657466,-10.832932285533417,2.457678511286503e-27,-471.20795016945164,-326.82209101922916,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,sex[T.True],-970.3450703700559,16.587002001844308,-58.500328767197544,0.0,-1002.855248316656,-937.8348924234557,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,race_1[T.True],-487.0166848935816,10.605895297217279,-45.919431716562634,0.0,-507.80401845495726,-466.22935133220597,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,race_2[T.True],-477.201784181562,8.883964728235135,-53.714957091726504,0.0,-494.6141697443135,-459.78939861881054,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,race_3[T.True],7.681557644821596e-12,5.485181341593004e-13,14.004199982549203,1.5632400530365533e-44,6.606473543036768e-12,8.756641746606424e-12,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,race_4[T.True],-190.84886209545627,9.358677583181228,-20.39271685547077,2.5602314206272182e-92,-209.1916749521889,-172.50604923872365,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,hs_grad[T.True],22.31655962695015,2.3769068674546823,9.388907883819572,6.139968323581609e-21,17.657871745025762,26.975247508874535,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,immigrant[T.True],-46.7051648837912,5.270954743968693,-8.86085484555407,8.020865305546087e-19,-57.036126238703005,-36.37420352887939,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,age,-30.987693953777352,0.2233608045408871,-138.73380344179827,0.0,-31.425476471746098,-30.549911435808607,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,sex[T.True]:age,7.1999539905976615,0.2843620329161385,25.319674067462472,3.741025191871758e-141,6.642610337396636,7.757297643798687,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,height,29.92801582123505,0.26623091524115544,112.41375102559319,0.0,29.406208780492317,30.449822861977783,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,waist_circ,-6.127109602584742,0.10005066474397308,-61.24006890172942,0.0,-6.323206818594032,-5.931012386575452,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,sit_height,9.422008497842645,0.46235213866476604,20.37842525191429,3.4259010115332e-92,8.515807949949098,10.328209045736193,195441.35018895596,30591652779.67652,13
fev1,demographics,immigrant,,income_category,0.000547881553588786,4.8847275392351727e-05,11.216215217493392,3.4831730802642e-29,0.00045214191269193416,0.0006436211944856378,195441.35018895596,30591652779.67652,13
fev1,anthropometrics,bmi,,Intercept,-479.24175926854724,37.98585559621126,-12.616321305563726,1.7882913897153443e-36,-553.6932439196247,-404.7902746174698,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,sex[T.True],-973.7319371883692,16.58779571670418,-58.70170779881292,0.0,-1006.2436708011455,-941.2202035755929,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,race_1[T.True],-493.6082556328229,10.631029415465925,-46.430899242431416,0.0,-514.4448515427399,-472.77165972290584,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,race_2[T.True],-473.4246457276083,8.892721360061758,-53.23731921409494,0.0,-490.85419410695255,-455.9950973482641,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,race_3[T.True],-1.958273823390749e-11,1.1883990283988923e-12,-16.47825163597697,5.919900395145744e-61,-2.1911975541675816e-11,-1.7253500926139163e-11,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,race_4[T.True],-191.17083705764963,9.356567355931936,-20.431727767817534,1.1549040113322844e-92,-209.50951391389557,-172.8321602014037,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,hs_grad[T.True],22.70318719354179,2.376776293934206,9.552092576605892,1.2884078543396338e-21,18.044755232763816,27.361619154319765,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,immigrant[T.True],-45.74000148838801,5.270916656690124,-8.677807764297013,4.0723765141932485e-18,-56.07088819353872,-35.4091147832373,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,age,-30.729624596445557,0.22531187250346676,-136.387063207123,0.0,-31.171231166946775,-30.28801802594434,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,sex[T.True]:age,7.107926433254694,0.28449655939076246,24.984226341703476,1.6912405900299444e-137,6.55031911094185,7.665533755567538,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,height,30.87607917188364,0.28805269636536673,107.18899549102066,0.0,30.311501895275274,31.440656448492003,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,waist_circ,-7.791402375079335,0.2176729771658164,-35.79407272563783,1.8606853130324755e-279,-8.218036870052552,-7.364767880106119,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,sit_height,8.632050031494154,0.4712645600729846,18.316781618709694,7.284014317780899e-75,7.708381323493008,9.555718739495301,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,income_category,0.0005469526335677375,4.8835990175876055e-05,11.199785887374524,4.192840109217766e-29,0.0004512351114550579,0.0006426701556804172,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,bmi,,bmi,4.767561439564538,0.5538132580724313,8.608608353216791,7.462179083443418e-18,3.682099005303735,5.853023873825341,195348.85287434878,30577174545.01032,14
fev1,anthropometrics,weight,,Intercept,-1465.3492105655337,130.03888150155106,-11.26854671191597,1.9261206446485795e-29,-1720.2227059410081,-1210.4757151900592,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,sex[T.True],-977.5537426827154,16.591521356637838,-58.918873180464644,0.0,-1010.0727784736583,-945.0347068917725,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,race_1[T.True],-494.2098511086455,10.629199706252196,-46.49549023130562,0.0,-515.0428608276975,-473.37684138959355,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,race_2[T.True],-472.62321195324233,8.891538844534923,-53.15426499471849,0.0,-490.05044262768024,-455.1959812788044,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,race_3[T.True],3.00561819401153e-11,2.9606162835547874e-12,10.1520018338976,3.3029581191534168e-24,2.425343577725973e-11,3.5858928102970875e-11,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,race_4[T.True],-190.64624502421063,9.354952618532256,-20.379178045919602,3.373770371756683e-92,-208.98175702973973,-172.31073301868153,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,hs_grad[T.True],22.279989375381803,2.376906028784,9.373525543531903,7.103923116344848e-21,17.621303136774078,26.938675613989528,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,immigrant[T.True],-45.85229339479447,5.269894239742693,-8.700799543376272,3.3266364581165677e-18,-56.18117618456438,-35.523410605024566,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,age,-30.796986636057852,0.2254275044519173,-136.6159232030478,0.0,-31.23881984278799,-30.355153429327714,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,sex[T.True]:age,7.175202883982243,0.28456687566627065,25.214469769830313,5.303262868395772e-140,6.617457743208517,7.732948024755968,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,height,36.71709563709449,0.7909718056532957,46.420233154541265,0.0,35.16680739620477,38.26738387798421,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,waist_circ,-7.597385203711442,0.2190013059276786,-34.69104977036232,1.0781401344937065e-262,-8.026623195372538,-7.168147212050346,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,sit_height,8.762070230780571,0.4714567184808286,18.58509994091191,5.136886163472403e-77,7.838024896262475,9.686115565298667,195270.41735666827,30564897347.169857,15
fev1,anthropometrics,weight,,income_category,0.0005544786707041424,4.883556640446319e-05,11.353992827929346,7.278641402928595e-30,0.00045876197916986327,0.0006501953622384214,195270.41735666827,30564897347.169857,15
