group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
white,1330,461.85,442.40,480.62,349385.22,321397.75,376546.01,0.66,0.63,0.69,nh,fvc,4,sit_height,False,xgboost
black,739,549.39,518.60,579.24,486012.03,435861.73,536972.00,0.34,0.24,0.43,nh,fvc,4,sit_height,False,xgboost
asian,88,462.36,385.49,538.49,349007.85,245859.69,464102.88,0.53,0.30,0.69,nh,fvc,4,sit_height,False,xgboost
hispanic,1049,405.49,387.03,423.82,264416.30,242577.05,287509.32,0.67,0.64,0.70,nh,fvc,4,sit_height,False,xgboost
other,148,474.23,421.24,528.78,328940.57,265633.69,397212.81,0.55,0.41,0.66,nh,fvc,4,sit_height,False,xgboost
All,1569,470.83,452.63,489.17,363123.43,334258.78,390213.79,0.61,0.58,0.65,nh3,fvc,4,sit_height,False,xgboost
white,697,466.70,438.66,493.63,363427.14,322382.41,404656.03,0.64,0.59,0.68,nh3,fvc,4,sit_height,False,xgboost
black,367,528.90,487.53,573.32,458528.54,391168.49,534488.20,0.46,0.35,0.56,nh3,fvc,4,sit_height,False,xgboost
hispanic,420,420.67,391.18,454.58,280302.41,243602.53,319268.81,0.64,0.59,0.69,nh3,fvc,4,sit_height,False,xgboost
other,85,502.04,435.91,574.11,360213.51,277664.04,453089.19,0.49,0.25,0.67,nh3,fvc,4,sit_height,False,xgboost
All,1785,457.26,439.60,473.78,341455.43,315664.93,366630.09,0.64,0.61,0.67,nh4,fvc,4,sit_height,False,xgboost
white,633,455.66,429.01,486.07,333118.03,297144.11,376850.21,0.69,0.64,0.73,nh4,fvc,4,sit_height,False,xgboost
black,372,568.15,526.73,613.44,511963.32,441591.19,591080.21,0.18,-0.02,0.34,nh4,fvc,4,sit_height,False,xgboost
asian,88,462.36,385.49,538.49,349007.85,245859.69,464102.88,0.53,0.30,0.69,nh4,fvc,4,sit_height,False,xgboost
hispanic,629,394.71,371.74,419.68,252860.18,225899.63,283146.81,0.69,0.65,0.73,nh4,fvc,4,sit_height,False,xgboost
other,63,439.05,365.91,519.67,289713.63,208196.77,389938.15,0.59,0.38,0.74,nh4,fvc,4,sit_height,False,xgboost
All,43260,411.34,408.20,414.53,289009.02,284092.43,294023.19,0.66,0.66,0.67,ukb_val,fvc,5,waist_circ,False,xgboost
white,40956,402.04,398.94,405.22,276494.47,271598.07,281568.70,0.67,0.67,0.68,ukb_val,fvc,5,waist_circ,False,xgboost
black,589,639.56,603.12,679.27,629488.62,555198.61,712304.07,-0.04,-0.23,0.12,ukb_val,fvc,5,waist_circ,False,xgboost
asian,1017,636.41,612.12,662.06,581847.94,535589.77,639167.41,0.02,-0.10,0.13,ukb_val,fvc,5,waist_circ,False,xgboost
other,698,431.70,407.50,457.84,307126.59,270054.48,349435.23,0.61,0.54,0.66,ukb_val,fvc,5,waist_circ,False,xgboost
All,3354,459.68,447.27,470.99,344997.70,325529.97,362874.69,0.63,0.61,0.65,nh,fvc,5,waist_circ,False,xgboost
white,1330,466.03,445.82,486.56,354690.53,325581.26,386231.49,0.66,0.63,0.69,nh,fvc,5,waist_circ,False,xgboost
black,739,475.05,447.90,502.67,375637.72,334742.65,418766.81,0.49,0.42,0.56,nh,fvc,5,waist_circ,False,xgboost
asian,88,467.84,397.05,543.70,359896.90,255236.53,484763.56,0.51,0.29,0.67,nh,fvc,5,waist_circ,False,xgboost
hispanic,1049,438.51,417.67,458.61,310604.63,283655.37,338587.86,0.62,0.58,0.65,nh,fvc,5,waist_circ,False,xgboost
other,148,480.43,422.77,541.08,357425.69,280326.56,442121.01,0.51,0.34,0.64,nh,fvc,5,waist_circ,False,xgboost
All,1569,461.49,443.57,479.54,348279.75,321279.37,376302.83,0.63,0.60,0.66,nh3,fvc,5,waist_circ,False,xgboost
white,697,445.21,419.50,472.09,329593.10,289945.73,370586.21,0.67,0.63,0.71,nh3,fvc,5,waist_circ,False,xgboost
black,367,488.92,449.50,529.88,396107.64,329733.57,470895.78,0.53,0.44,0.62,nh3,fvc,5,waist_circ,False,xgboost
hispanic,420,453.89,422.90,487.17,325975.59,283644.31,371546.73,0.58,0.52,0.64,nh3,fvc,5,waist_circ,False,xgboost
other,85,515.84,442.42,600.20,411703.65,305379.25,530910.45,0.42,0.10,0.65,nh3,fvc,5,waist_circ,False,xgboost
All,1785,458.01,441.02,474.73,342461.69,318414.59,367349.41,0.63,0.61,0.66,nh4,fvc,5,waist_circ,False,xgboost
white,633,488.19,459.86,516.62,381523.17,337746.58,428912.89,0.64,0.59,0.68,nh4,fvc,5,waist_circ,False,xgboost
black,372,460.67,425.14,500.08,354545.49,307608.21,407240.91,0.43,0.31,0.54,nh4,fvc,5,waist_circ,False,xgboost
asian,88,467.84,397.05,543.70,359896.90,255236.53,484763.56,0.51,0.29,0.67,nh4,fvc,5,waist_circ,False,xgboost
hispanic,629,427.77,402.60,453.98,299865.94,265177.75,336363.49,0.64,0.59,0.68,nh4,fvc,5,waist_circ,False,xgboost
other,63,435.16,367.93,515.36,287975.35,196617.03,397915.23,0.60,0.39,0.75,nh4,fvc,5,waist_circ,False,xgboost
All,43260,404.36,401.34,407.53,279965.25,275228.05,284964.30,0.67,0.67,0.68,ukb_val,fvc,6,immigrant,False,xgboost
white,40956,401.71,398.49,404.92,276288.85,271213.53,281516.02,0.67,0.67,0.68,ukb_val,fvc,6,immigrant,False,xgboost
black,589,501.60,468.05,538.74,434602.15,371010.48,506688.75,0.28,0.15,0.40,ukb_val,fvc,6,immigrant,False,xgboost
asian,1017,451.33,429.74,474.75,343043.35,301093.03,400270.43,0.43,0.36,0.48,ukb_val,fvc,6,immigrant,False,xgboost
other,698,405.46,381.81,430.89,272686.77,240034.95,308467.81,0.65,0.59,0.70,ukb_val,fvc,6,immigrant,False,xgboost
All,3354,492.31,478.91,504.96,393573.78,372632.04,413799.10,0.58,0.56,0.61,nh,fvc,6,immigrant,False,xgboost
white,1330,455.19,435.09,475.15,340600.32,312576.81,369338.75,0.67,0.64,0.70,nh,fvc,6,immigrant,False,xgboost
black,739,484.19,455.31,512.91,387484.64,345182.43,432456.15,0.48,0.40,0.55,nh,fvc,6,immigrant,False,xgboost
asian,88,415.46,345.55,487.94,294582.36,211131.42,395402.07,0.60,0.45,0.72,nh,fvc,6,immigrant,False,xgboost
hispanic,1049,555.81,529.88,580.38,480724.45,440280.42,521110.65,0.41,0.34,0.46,nh,fvc,6,immigrant,False,xgboost
other,148,468.29,408.36,531.85,358511.84,273340.07,454853.08,0.51,0.34,0.65,nh,fvc,6,immigrant,False,xgboost
All,1569,478.49,461.17,496.91,375109.20,346229.69,405143.42,0.60,0.56,0.64,nh3,fvc,6,immigrant,False,xgboost
white,697,438.43,413.29,465.48,317844.39,279429.75,359018.51,0.68,0.64,0.71,nh3,fvc,6,immigrant,False,xgboost
black,367,509.19,468.01,551.05,424553.19,354695.23,501011.61,0.50,0.39,0.60,nh3,fvc,6,immigrant,False,xgboost
hispanic,420,513.44,476.43,552.45,419528.34,362489.91,478928.28,0.46,0.38,0.54,nh3,fvc,6,immigrant,False,xgboost
other,85,507.04,423.52,596.49,422612.18,299913.42,570859.66,0.40,0.09,0.63,nh3,fvc,6,immigrant,False,xgboost
All,1785,504.30,485.73,522.21,410258.08,382334.77,437208.11,0.56,0.53,0.60,nh4,fvc,6,immigrant,False,xgboost
white,633,473.60,445.75,503.51,365529.22,323856.79,409475.40,0.66,0.61,0.70,nh4,fvc,6,immigrant,False,xgboost
black,372,459.12,423.20,497.73,350871.46,298711.18,407437.55,0.44,0.31,0.55,nh4,fvc,6,immigrant,False,xgboost
asian,88,415.46,345.55,487.94,294582.36,211131.42,395402.07,0.60,0.45,0.72,nh4,fvc,6,immigrant,False,xgboost
hispanic,629,583.28,552.45,618.09,520406.51,467401.15,580411.74,0.37,0.28,0.44,nh4,fvc,6,immigrant,False,xgboost
other,63,415.83,341.25,493.22,271712.64,185416.95,371931.12,0.62,0.46,0.76,nh4,fvc,6,immigrant,False,xgboost
All,43260,404.93,401.83,408.01,280612.89,275795.32,285522.89,0.67,0.67,0.68,ukb_val,fvc,7,inc_pov_bin,False,xgboost
white,40956,402.14,398.97,405.42,276809.69,271719.57,281916.34,0.67,0.67,0.68,ukb_val,fvc,7,inc_pov_bin,False,xgboost
black,589,495.54,464.00,532.05,427356.84,364994.97,499452.35,0.29,0.16,0.42,ukb_val,fvc,7,inc_pov_bin,False,xgboost
asian,1017,459.55,437.79,482.67,351009.61,308809.56,408662.90,0.41,0.34,0.47,ukb_val,fvc,7,inc_pov_bin,False,xgboost
other,698,409.91,385.87,436.04,277813.63,245286.27,315206.25,0.64,0.59,0.70,ukb_val,fvc,7,inc_pov_bin,False,xgboost
All,3354,494.64,481.29,508.10,397916.02,377455.82,419453.43,0.58,0.55,0.60,nh,fvc,7,inc_pov_bin,False,xgboost
white,1330,455.03,435.46,474.62,338169.37,310321.11,366958.97,0.67,0.65,0.70,nh,fvc,7,inc_pov_bin,False,xgboost
black,739,486.18,457.69,513.85,384464.00,341607.14,427943.41,0.48,0.40,0.55,nh,fvc,7,inc_pov_bin,False,xgboost
asian,88,412.23,341.22,486.52,289390.83,201684.86,386212.23,0.61,0.45,0.73,nh,fvc,7,inc_pov_bin,False,xgboost
hispanic,1049,562.80,536.16,587.49,500474.74,458244.26,542377.46,0.38,0.32,0.44,nh,fvc,7,inc_pov_bin,False,xgboost
other,148,465.94,404.43,527.47,358044.87,274563.93,453878.65,0.51,0.34,0.65,nh,fvc,7,inc_pov_bin,False,xgboost
All,1569,480.11,462.49,498.36,378392.08,350191.89,407989.02,0.60,0.56,0.63,nh3,fvc,7,inc_pov_bin,False,xgboost
white,697,434.03,408.58,459.14,308970.76,272439.15,347236.94,0.69,0.65,0.72,nh3,fvc,7,inc_pov_bin,False,xgboost
black,367,508.87,466.31,549.34,420296.34,354979.95,495976.77,0.51,0.40,0.60,nh3,fvc,7,inc_pov_bin,False,xgboost
hispanic,420,525.27,485.46,568.01,449447.97,384061.08,514530.14,0.43,0.33,0.51,nh3,fvc,7,inc_pov_bin,False,xgboost
other,85,516.15,432.26,604.81,427055.01,304090.83,573520.70,0.40,0.08,0.62,nh3,fvc,7,inc_pov_bin,False,xgboost
All,1785,507.27,488.80,524.89,415592.91,386656.40,443544.57,0.56,0.52,0.59,nh4,fvc,7,inc_pov_bin,False,xgboost
white,633,477.74,449.78,507.16,369659.77,326098.27,416278.11,0.65,0.61,0.70,nh4,fvc,7,inc_pov_bin,False,xgboost
black,372,463.22,427.94,501.88,348961.83,299132.62,402942.68,0.44,0.32,0.55,nh4,fvc,7,inc_pov_bin,False,xgboost
asian,88,412.23,341.22,486.52,289390.83,201684.86,386212.23,0.61,0.45,0.73,nh4,fvc,7,inc_pov_bin,False,xgboost
hispanic,629,587.25,556.34,622.11,533569.77,479681.56,594262.49,0.35,0.27,0.43,nh4,fvc,7,inc_pov_bin,False,xgboost
other,63,398.56,319.62,483.54,265700.27,176945.06,368325.74,0.63,0.47,0.76,nh4,fvc,7,inc_pov_bin,False,xgboost
All,43260,404.45,401.39,407.51,280069.30,275170.62,284870.05,0.67,0.67,0.68,ukb_val,fvc,8,hs_grad,False,xgboost
white,40956,401.64,398.47,404.85,276181.71,271012.04,281161.56,0.67,0.67,0.68,ukb_val,fvc,8,hs_grad,False,xgboost
black,589,498.73,466.02,535.35,436169.75,373865.65,508600.10,0.28,0.14,0.40,ukb_val,fvc,8,hs_grad,False,xgboost
asian,1017,458.07,436.09,480.92,349240.12,308077.91,405322.34,0.41,0.35,0.47,ukb_val,fvc,8,hs_grad,False,xgboost
other,698,408.37,384.24,433.50,276066.08,242942.88,313849.25,0.65,0.59,0.70,ukb_val,fvc,8,hs_grad,False,xgboost
All,3354,498.01,484.73,511.74,403833.98,382607.67,425714.77,0.57,0.54,0.59,nh,fvc,8,hs_grad,False,xgboost
white,1330,457.96,438.22,477.91,347397.19,317646.89,380604.66,0.67,0.64,0.69,nh,fvc,8,hs_grad,False,xgboost
black,739,481.18,452.66,510.01,381282.31,338258.39,427014.47,0.49,0.40,0.55,nh,fvc,8,hs_grad,False,xgboost
asian,88,425.38,353.59,503.32,306150.71,214966.62,409485.71,0.59,0.43,0.70,nh,fvc,8,hs_grad,False,xgboost
hispanic,1049,573.48,547.60,599.47,510014.50,467731.21,553991.69,0.37,0.31,0.43,nh,fvc,8,hs_grad,False,xgboost
other,148,457.80,398.87,518.72,346738.83,262700.63,442525.41,0.52,0.36,0.66,nh,fvc,8,hs_grad,False,xgboost
All,1569,483.03,465.64,502.33,384199.86,354661.19,414218.17,0.59,0.55,0.63,nh3,fvc,8,hs_grad,False,xgboost
white,697,440.06,413.11,468.16,322755.52,282523.01,364627.78,0.68,0.64,0.71,nh3,fvc,8,hs_grad,False,xgboost
black,367,508.75,467.97,550.43,423289.48,353106.97,501703.25,0.50,0.39,0.60,nh3,fvc,8,hs_grad,False,xgboost
hispanic,420,527.63,488.29,568.21,447095.25,386287.68,512011.43,0.43,0.34,0.52,nh3,fvc,8,hs_grad,False,xgboost
other,85,507.35,424.38,598.01,416899.38,286680.59,565101.83,0.41,0.10,0.64,nh3,fvc,8,hs_grad,False,xgboost
All,1785,511.07,492.99,528.71,421606.36,392881.01,451065.66,0.55,0.51,0.58,nh4,fvc,8,hs_grad,False,xgboost
white,633,477.53,449.04,508.43,374537.11,329730.68,423152.90,0.65,0.60,0.69,nh4,fvc,8,hs_grad,False,xgboost
black,372,453.48,418.89,491.37,339665.46,289512.68,396006.59,0.46,0.33,0.56,nh4,fvc,8,hs_grad,False,xgboost
asian,88,425.38,353.59,503.32,306150.71,214966.62,409485.71,0.59,0.43,0.70,nh4,fvc,8,hs_grad,False,xgboost
hispanic,629,603.22,570.63,638.95,550719.28,496278.99,608423.23,0.33,0.25,0.41,nh4,fvc,8,hs_grad,False,xgboost
other,63,390.81,311.43,473.99,251655.23,166050.81,346287.82,0.65,0.49,0.78,nh4,fvc,8,hs_grad,False,xgboost
All,43260,404.99,402.01,408.07,280834.47,275982.70,285876.16,0.67,0.67,0.68,ukb_val,fvc,9,smoke_exposure,False,xgboost
white,40956,402.26,399.16,405.48,276909.79,271713.24,281909.01,0.67,0.67,0.68,ukb_val,fvc,9,smoke_exposure,False,xgboost
black,589,500.85,468.37,537.00,438432.08,375561.64,512556.54,0.27,0.14,0.40,ukb_val,fvc,9,smoke_exposure,False,xgboost
asian,1017,456.26,433.59,479.52,350830.11,306547.89,411966.23,0.41,0.35,0.47,ukb_val,fvc,9,smoke_exposure,False,xgboost
other,698,407.12,383.16,433.46,276292.42,242687.33,314508.78,0.65,0.59,0.69,ukb_val,fvc,9,smoke_exposure,False,xgboost
All,3354,497.55,484.75,511.05,403126.66,383672.85,424251.49,0.57,0.55,0.60,nh,fvc,9,smoke_exposure,False,xgboost
white,1330,457.25,437.12,476.77,342873.61,314985.14,371156.95,0.67,0.64,0.70,nh,fvc,9,smoke_exposure,False,xgboost
black,739,485.01,457.53,513.19,388357.63,345339.95,432383.07,0.48,0.40,0.54,nh,fvc,9,smoke_exposure,False,xgboost
asian,88,393.85,322.97,464.77,269347.10,182812.09,358834.17,0.64,0.49,0.75,nh,fvc,9,smoke_exposure,False,xgboost
hispanic,1049,572.26,546.49,598.43,510558.85,468969.24,554067.68,0.37,0.30,0.43,nh,fvc,9,smoke_exposure,False,xgboost
other,148,463.34,403.78,525.52,355010.97,269828.75,449602.18,0.51,0.35,0.65,nh,fvc,9,smoke_exposure,False,xgboost
All,1569,484.04,466.54,503.02,383574.11,355421.07,412935.66,0.59,0.56,0.63,nh3,fvc,9,smoke_exposure,False,xgboost
white,697,439.51,414.19,465.84,314695.09,278623.14,352834.38,0.68,0.65,0.72,nh3,fvc,9,smoke_exposure,False,xgboost
black,367,515.50,472.70,558.25,437769.12,367255.52,512287.98,0.48,0.37,0.58,nh3,fvc,9,smoke_exposure,False,xgboost
hispanic,420,525.83,486.84,566.58,444471.05,384197.50,509758.20,0.43,0.34,0.52,nh3,fvc,9,smoke_exposure,False,xgboost
other,85,509.15,423.00,598.70,418823.37,291156.46,568026.44,0.41,0.10,0.63,nh3,fvc,9,smoke_exposure,False,xgboost
All,1785,509.35,490.04,526.51,421001.03,391678.54,449305.25,0.55,0.52,0.59,nh4,fvc,9,smoke_exposure,False,xgboost
white,633,476.24,447.18,507.67,373247.23,329449.73,420811.07,0.65,0.61,0.69,nh4,fvc,9,smoke_exposure,False,xgboost
black,372,454.37,418.08,491.14,339187.38,289313.09,391862.74,0.46,0.34,0.56,nh4,fvc,9,smoke_exposure,False,xgboost
asian,88,393.85,322.97,464.77,269347.10,182812.09,358834.17,0.64,0.49,0.75,nh4,fvc,9,smoke_exposure,False,xgboost
hispanic,629,602.35,570.07,637.38,553618.90,499018.00,614430.68,0.33,0.24,0.40,nh4,fvc,9,smoke_exposure,False,xgboost
other,63,401.26,322.29,487.29,268725.26,176681.11,369162.85,0.62,0.46,0.76,nh4,fvc,9,smoke_exposure,False,xgboost
All,43260,425.59,422.36,428.84,309286.68,304229.16,314556.78,0.64,0.63,0.64,ukb_val,fvc,3,GLI global,False,gli_global
white,40956,414.47,411.24,417.59,292757.82,287763.94,297808.56,0.65,0.65,0.66,ukb_val,fvc,3,GLI global,False,gli_global
black,589,754.39,712.80,797.97,836825.26,745261.77,936599.81,-0.39,-0.63,-0.17,ukb_val,fvc,3,GLI global,False,gli_global
asian,1017,660.02,634.14,686.37,632737.26,583104.76,691252.23,-0.06,-0.20,0.07,ukb_val,fvc,3,GLI global,False,gli_global
other,698,455.17,426.33,482.89,358895.93,312592.48,408214.41,0.54,0.46,0.61,ukb_val,fvc,3,GLI global,False,gli_global
All,3354,452.75,441.22,464.88,338161.01,320706.62,356864.53,0.64,0.62,0.66,nh,fvc,3,GLI global,False,gli_global
white,1330,415.49,398.55,433.15,276264.03,253523.07,299046.75,0.73,0.71,0.76,nh,fvc,3,GLI global,False,gli_global
black,739,611.46,578.89,644.49,587370.39,529092.47,652584.65,0.21,0.09,0.32,nh,fvc,3,GLI global,False,gli_global
asian,88,436.05,363.79,513.27,329025.83,227837.46,446183.48,0.55,0.35,0.71,nh,fvc,3,GLI global,False,gli_global
hispanic,1049,388.71,370.91,406.73,244539.39,224454.92,265546.32,0.70,0.67,0.73,nh,fvc,3,GLI global,False,gli_global
other,148,468.95,417.25,527.42,334470.78,269701.38,405204.11,0.54,0.40,0.66,nh,fvc,3,GLI global,False,gli_global
All,1569,467.49,449.52,485.49,360164.93,332346.00,389784.53,0.62,0.58,0.65,nh3,fvc,3,GLI global,False,gli_global
white,697,419.09,394.97,442.45,284920.52,254432.39,316654.73,0.71,0.68,0.74,nh3,fvc,3,GLI global,False,gli_global
black,367,619.38,571.08,666.98,607051.35,510011.86,699590.56,0.29,0.12,0.42,nh3,fvc,3,GLI global,False,gli_global
hispanic,420,406.50,375.92,436.48,264096.80,229335.22,300820.64,0.66,0.61,0.71,nh3,fvc,3,GLI global,False,gli_global
other,85,517.93,441.35,597.21,402024.20,312203.38,504252.33,0.43,0.18,0.62,nh3,fvc,3,GLI global,False,gli_global
All,1785,439.77,421.86,455.64,319247.82,294305.08,343821.43,0.66,0.63,0.69,nh4,fvc,3,GLI global,False,gli_global
white,633,411.09,387.95,436.31,266924.08,237771.97,298264.14,0.75,0.72,0.78,nh4,fvc,3,GLI global,False,gli_global
black,372,602.98,561.46,653.23,568100.97,493069.06,652790.35,0.09,-0.13,0.27,nh4,fvc,3,GLI global,False,gli_global
asian,88,436.05,363.79,513.27,329025.83,227837.46,446183.48,0.55,0.35,0.71,nh4,fvc,3,GLI global,False,gli_global
hispanic,629,376.57,354.46,398.99,231057.39,205948.85,258666.80,0.72,0.68,0.75,nh4,fvc,3,GLI global,False,gli_global
other,63,404.39,337.98,471.38,244665.59,176949.54,316953.48,0.66,0.50,0.77,nh4,fvc,3,GLI global,False,gli_global
All,43260,326.35,323.75,328.76,181983.46,178887.02,185037.92,0.65,0.65,0.66,ukb_val,fev1,4,height,True,xgboost
white,40956,325.50,322.90,328.17,181012.27,177756.19,184123.98,0.65,0.65,0.66,ukb_val,fev1,4,height,True,xgboost
black,589,345.91,323.04,371.35,212396.96,182154.32,248061.02,0.46,0.37,0.53,ukb_val,fev1,4,height,True,xgboost
asian,1017,321.06,304.07,338.53,180841.29,152677.63,220863.01,0.54,0.49,0.59,ukb_val,fev1,4,height,True,xgboost
other,698,366.88,346.37,389.30,216167.89,192148.57,242219.19,0.55,0.48,0.60,ukb_val,fev1,4,height,True,xgboost
All,3354,383.70,374.39,393.43,232808.74,222139.23,244280.51,0.60,0.57,0.62,nh,fev1,4,height,True,xgboost
white,1330,347.53,332.69,361.00,192928.44,178666.03,207148.56,0.70,0.67,0.72,nh,fev1,4,height,True,xgboost
black,739,396.68,376.15,418.91,248958.26,222650.25,275612.04,0.47,0.41,0.52,nh,fev1,4,height,True,xgboost
asian,88,423.05,361.43,493.57,267114.82,198224.81,350824.15,0.40,0.19,0.54,nh,fev1,4,height,True,xgboost
hispanic,1049,416.45,397.72,435.04,267621.97,246496.13,289606.82,0.48,0.42,0.52,nh,fev1,4,height,True,xgboost
other,148,386.73,336.53,437.83,242527.50,187534.10,304190.03,0.49,0.36,0.60,nh,fev1,4,height,True,xgboost
All,1569,391.10,377.10,406.19,241671.63,225687.61,259267.29,0.58,0.55,0.62,nh3,fev1,4,height,True,xgboost
white,697,349.31,329.53,370.75,199269.71,177736.61,221756.21,0.68,0.64,0.71,nh3,fev1,4,height,True,xgboost
black,367,410.05,379.34,438.30,263821.53,225269.24,298497.60,0.50,0.42,0.58,nh3,fev1,4,height,True,xgboost
hispanic,420,441.10,410.13,472.61,286558.00,251889.44,324019.41,0.42,0.33,0.50,nh3,fev1,4,height,True,xgboost
other,85,406.64,340.83,483.58,273249.92,189067.49,374855.62,0.42,0.20,0.57,nh3,fev1,4,height,True,xgboost
All,1785,377.41,364.85,390.88,225538.98,211453.39,239397.95,0.61,0.58,0.64,nh4,fev1,4,height,True,xgboost
white,633,345.87,326.07,367.73,186712.18,167439.37,208372.81,0.71,0.68,0.75,nh4,fev1,4,height,True,xgboost
black,372,383.48,354.88,415.86,233856.24,199721.13,273334.95,0.43,0.33,0.51,nh4,fev1,4,height,True,xgboost
asian,88,423.05,361.43,493.57,267114.82,198224.81,350824.15,0.40,0.19,0.54,nh4,fev1,4,height,True,xgboost
hispanic,629,399.61,375.71,422.60,254736.19,228590.52,280296.93,0.51,0.46,0.57,nh4,fev1,4,height,True,xgboost
other,63,359.06,292.26,429.86,201080.11,138821.43,273743.70,0.57,0.41,0.70,nh4,fev1,4,height,True,xgboost
All,43260,326.39,323.89,328.85,182179.47,179005.65,185293.65,0.65,0.65,0.66,ukb_val,fev1,5,sit_height,True,xgboost
white,40956,325.89,323.33,328.70,181547.81,178261.68,184677.15,0.65,0.65,0.66,ukb_val,fev1,5,sit_height,True,xgboost
black,589,342.71,319.46,366.67,206966.42,176688.08,244224.93,0.47,0.39,0.54,ukb_val,fev1,5,sit_height,True,xgboost
asian,1017,313.33,296.67,330.09,174038.08,145087.89,215139.37,0.55,0.50,0.60,ukb_val,fev1,5,sit_height,True,xgboost
other,698,360.34,339.39,381.51,210972.26,187574.99,235869.85,0.56,0.50,0.61,ukb_val,fev1,5,sit_height,True,xgboost
All,3354,377.01,367.74,386.51,224134.75,213694.64,234716.58,0.61,0.59,0.63,nh,fev1,5,sit_height,True,xgboost
white,1330,341.43,326.91,354.95,185358.33,171707.43,199095.60,0.71,0.69,0.73,nh,fev1,5,sit_height,True,xgboost
black,739,377.81,357.27,398.86,229520.71,204231.73,257364.53,0.51,0.45,0.56,nh,fev1,5,sit_height,True,xgboost
asian,88,395.45,335.26,459.65,235828.30,173058.92,308581.45,0.47,0.29,0.60,nh,fev1,5,sit_height,True,xgboost
hispanic,1049,420.64,402.60,438.95,269544.22,248929.45,291442.78,0.47,0.42,0.52,nh,fev1,5,sit_height,True,xgboost
other,148,375.52,330.21,419.47,219461.60,169793.37,272455.51,0.54,0.40,0.65,nh,fev1,5,sit_height,True,xgboost
All,1569,383.93,370.79,398.52,232123.75,217068.46,248820.56,0.60,0.57,0.63,nh3,fev1,5,sit_height,True,xgboost
white,697,340.83,320.38,361.90,188311.98,167851.14,210185.43,0.70,0.66,0.73,nh3,fev1,5,sit_height,True,xgboost
black,367,399.81,371.78,428.10,250960.22,214542.41,286838.92,0.52,0.44,0.60,nh3,fev1,5,sit_height,True,xgboost
hispanic,420,442.01,409.97,473.80,288054.68,252347.54,326564.89,0.42,0.32,0.50,nh3,fev1,5,sit_height,True,xgboost
other,85,385.74,326.71,451.22,237067.96,167043.33,316322.31,0.49,0.24,0.66,nh3,fev1,5,sit_height,True,xgboost
All,1785,371.19,358.56,384.46,217463.98,202943.04,231017.90,0.62,0.60,0.65,nh4,fev1,5,sit_height,True,xgboost
white,633,342.21,323.18,363.90,182537.79,163867.57,203830.48,0.72,0.69,0.75,nh4,fev1,5,sit_height,True,xgboost
black,372,356.14,327.87,386.93,208064.72,176683.04,246159.42,0.50,0.41,0.57,nh4,fev1,5,sit_height,True,xgboost
asian,88,395.45,335.26,459.65,235828.30,173058.92,308581.45,0.47,0.29,0.60,nh4,fev1,5,sit_height,True,xgboost
hispanic,629,405.10,382.36,427.34,255883.14,230490.86,282332.52,0.51,0.45,0.57,nh4,fev1,5,sit_height,True,xgboost
other,63,362.56,301.87,431.67,197271.23,140599.35,265429.85,0.58,0.41,0.70,nh4,fev1,5,sit_height,True,xgboost
All,43260,320.58,318.09,323.03,175692.60,172623.64,178787.23,0.67,0.66,0.67,ukb_val,fev1,6,waist_circ,True,xgboost
white,40956,320.31,317.67,322.98,175177.87,171958.10,178234.24,0.66,0.66,0.67,ukb_val,fev1,6,waist_circ,True,xgboost
black,589,324.73,302.11,346.89,190714.07,160904.02,224408.41,0.51,0.44,0.58,ukb_val,fev1,6,waist_circ,True,xgboost
asian,1017,308.17,291.59,325.50,169794.63,141800.26,209202.19,0.56,0.51,0.61,ukb_val,fev1,6,waist_circ,True,xgboost
other,698,352.36,331.27,373.06,204171.80,181589.86,227868.20,0.57,0.52,0.62,ukb_val,fev1,6,waist_circ,True,xgboost
All,3354,395.54,385.21,405.42,247263.88,235516.31,258744.94,0.57,0.55,0.59,nh,fev1,6,waist_circ,True,xgboost
white,1330,346.61,332.57,361.85,196576.32,180987.97,213143.37,0.69,0.67,0.72,nh,fev1,6,waist_circ,True,xgboost
black,739,381.06,358.86,401.07,229133.02,204709.62,252752.51,0.51,0.46,0.56,nh,fev1,6,waist_circ,True,xgboost
asian,88,400.77,344.80,459.27,233276.66,177169.09,295728.44,0.47,0.28,0.60,nh,fev1,6,waist_circ,True,xgboost
hispanic,1049,467.78,447.20,487.91,324121.79,300336.05,348493.08,0.37,0.30,0.43,nh,fev1,6,waist_circ,True,xgboost
other,148,389.89,338.06,442.48,257144.25,194109.06,333973.83,0.46,0.31,0.58,nh,fev1,6,waist_circ,True,xgboost
All,1569,388.98,373.84,403.13,242404.77,226286.17,259362.59,0.58,0.55,0.61,nh3,fev1,6,waist_circ,True,xgboost
white,697,334.65,314.83,355.88,186082.24,165300.56,210186.03,0.70,0.67,0.73,nh3,fev1,6,waist_circ,True,xgboost
black,367,390.90,363.22,418.17,238566.18,206946.51,271544.56,0.55,0.48,0.62,nh3,fev1,6,waist_circ,True,xgboost
hispanic,420,478.29,446.62,511.16,335300.08,296741.33,375841.56,0.32,0.21,0.42,nh3,fev1,6,waist_circ,True,xgboost
other,85,392.47,325.75,462.41,269760.66,183506.13,376470.86,0.42,0.19,0.58,nh3,fev1,6,waist_circ,True,xgboost
