group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
hispanic,629,485.70,459.53,513.64,368085.63,331751.92,407394.69,0.55,0.49,0.61,nh4,fvc,5,sit_height,True,xgboost
other,63,424.88,345.16,500.80,274913.42,195659.68,362214.70,0.62,0.46,0.73,nh4,fvc,5,sit_height,True,xgboost
All,43260,399.18,396.18,402.39,272632.65,267918.29,277468.50,0.68,0.68,0.69,ukb_val,fvc,6,waist_circ,True,xgboost
white,40956,399.31,396.18,402.40,272302.87,267252.61,277322.65,0.68,0.67,0.68,ukb_val,fvc,6,waist_circ,True,xgboost
black,589,391.97,365.82,421.57,277095.24,235854.17,325198.35,0.54,0.47,0.61,ukb_val,fvc,6,waist_circ,True,xgboost
asian,1017,374.12,354.04,395.00,255496.14,215627.17,313745.57,0.57,0.52,0.62,ukb_val,fvc,6,waist_circ,True,xgboost
other,698,431.56,405.64,459.79,313306.91,279078.24,352112.69,0.60,0.55,0.65,ukb_val,fvc,6,waist_circ,True,xgboost
All,3354,486.98,474.35,500.16,379319.75,361363.90,397612.94,0.60,0.57,0.62,nh,fvc,6,waist_circ,True,xgboost
white,1330,441.30,421.99,461.54,318875.17,291352.15,347444.22,0.69,0.67,0.72,nh,fvc,6,waist_circ,True,xgboost
black,739,456.54,430.01,482.48,340093.30,301214.15,380171.38,0.54,0.49,0.59,nh,fvc,6,waist_circ,True,xgboost
asian,88,461.19,387.64,543.83,361492.34,258956.55,475276.95,0.52,0.37,0.63,nh,fvc,6,waist_circ,True,xgboost
hispanic,1049,569.09,543.18,592.75,487336.26,450181.48,524959.83,0.40,0.34,0.45,nh,fvc,6,waist_circ,True,xgboost
other,148,487.50,428.31,550.89,373201.85,294298.07,462515.61,0.49,0.33,0.62,nh,fvc,6,waist_circ,True,xgboost
All,1569,479.57,460.70,498.82,370120.82,342591.90,398351.66,0.61,0.57,0.64,nh3,fvc,6,waist_circ,True,xgboost
white,697,432.41,407.81,458.68,309473.05,271385.21,349286.46,0.69,0.65,0.73,nh3,fvc,6,waist_circ,True,xgboost
black,367,469.10,430.40,505.40,358514.48,304806.14,411195.14,0.58,0.51,0.65,nh3,fvc,6,waist_circ,True,xgboost
hispanic,420,559.09,521.14,596.91,471298.86,413581.18,532018.53,0.40,0.31,0.48,nh3,fvc,6,waist_circ,True,xgboost
other,85,524.57,446.55,605.10,425287.33,313936.63,555601.15,0.40,0.12,0.61,nh3,fvc,6,waist_circ,True,xgboost
All,1785,493.51,475.04,510.36,387805.81,360608.68,414058.10,0.59,0.55,0.62,nh4,fvc,6,waist_circ,True,xgboost
white,633,450.58,424.57,478.57,328776.72,291828.11,368640.63,0.69,0.65,0.73,nh4,fvc,6,waist_circ,True,xgboost
black,372,443.43,409.16,478.81,320477.07,272152.07,373079.07,0.49,0.39,0.56,nh4,fvc,6,waist_circ,True,xgboost
asian,88,461.19,387.64,543.83,361492.34,258956.55,475276.95,0.52,0.37,0.63,nh4,fvc,6,waist_circ,True,xgboost
hispanic,629,575.64,543.65,608.13,498135.79,448428.23,551883.44,0.39,0.33,0.46,nh4,fvc,6,waist_circ,True,xgboost
other,63,438.60,360.95,518.84,306116.25,212442.83,418325.11,0.57,0.40,0.71,nh4,fvc,6,waist_circ,True,xgboost
All,43260,399.18,396.14,402.24,272859.92,268190.26,277811.95,0.68,0.68,0.69,ukb_val,fvc,7,immigrant,True,xgboost
white,40956,399.66,396.46,402.82,273052.45,267972.78,278090.36,0.68,0.67,0.68,ukb_val,fvc,7,immigrant,True,xgboost
black,589,392.61,366.40,421.34,282509.44,239365.86,334248.64,0.53,0.45,0.60,ukb_val,fvc,7,immigrant,True,xgboost
asian,1017,369.47,349.13,390.41,248153.87,209178.54,301526.76,0.59,0.54,0.63,ukb_val,fvc,7,immigrant,True,xgboost
other,698,416.57,391.67,444.62,289308.76,255202.43,326074.25,0.63,0.57,0.68,ukb_val,fvc,7,immigrant,True,xgboost
All,3354,483.16,471.32,495.50,377849.78,360166.99,396539.34,0.60,0.58,0.62,nh,fvc,7,immigrant,True,xgboost
white,1330,434.13,414.87,453.51,311416.57,284880.58,338726.07,0.70,0.67,0.72,nh,fvc,7,immigrant,True,xgboost
black,739,429.19,403.19,454.90,304553.92,268069.24,339755.85,0.59,0.54,0.63,nh,fvc,7,immigrant,True,xgboost
asian,88,477.23,395.00,565.41,390085.33,275703.73,525527.31,0.48,0.32,0.60,nh,fvc,7,immigrant,True,xgboost
hispanic,1049,582.51,557.06,607.02,510813.05,469011.30,550036.85,0.37,0.31,0.43,nh,fvc,7,immigrant,True,xgboost
other,148,498.67,437.57,561.67,403136.94,317620.38,498166.48,0.45,0.30,0.58,nh,fvc,7,immigrant,True,xgboost
All,1569,466.47,448.66,485.64,358875.58,332969.89,387526.16,0.62,0.58,0.65,nh3,fvc,7,immigrant,True,xgboost
white,697,421.20,396.79,447.68,298636.37,262047.52,337968.79,0.70,0.66,0.73,nh3,fvc,7,immigrant,True,xgboost
black,367,436.72,401.08,469.94,317650.50,266614.56,369653.85,0.63,0.56,0.69,nh3,fvc,7,immigrant,True,xgboost
hispanic,420,552.20,513.87,593.78,472425.97,413134.50,536045.57,0.40,0.30,0.48,nh3,fvc,7,immigrant,True,xgboost
other,85,547.03,461.94,634.75,474591.62,347468.51,619770.77,0.34,0.05,0.53,nh3,fvc,7,immigrant,True,xgboost
All,1785,497.91,479.53,514.34,394885.06,367574.97,420947.51,0.58,0.55,0.61,nh4,fvc,7,immigrant,True,xgboost
white,633,447.66,422.19,475.78,324839.45,287541.95,366199.32,0.70,0.65,0.73,nh4,fvc,7,immigrant,True,xgboost
black,372,421.49,387.01,457.73,290733.95,245781.76,336165.37,0.54,0.45,0.61,nh4,fvc,7,immigrant,True,xgboost
asian,88,477.23,395.00,565.41,390085.33,275703.73,525527.31,0.48,0.32,0.60,nh4,fvc,7,immigrant,True,xgboost
hispanic,629,602.17,569.48,634.89,535569.95,482952.49,590949.97,0.35,0.27,0.42,nh4,fvc,7,immigrant,True,xgboost
other,63,433.61,351.86,522.06,307882.30,208076.56,425676.37,0.57,0.38,0.72,nh4,fvc,7,immigrant,True,xgboost
All,43260,399.30,396.34,402.37,273126.66,268224.18,278076.44,0.68,0.68,0.69,ukb_val,fvc,8,inc_pov_bin,True,xgboost
white,40956,399.86,396.77,403.12,273298.24,268333.04,278384.91,0.68,0.67,0.68,ukb_val,fvc,8,inc_pov_bin,True,xgboost
black,589,397.35,370.80,426.44,288659.26,244059.28,340912.42,0.52,0.44,0.59,ukb_val,fvc,8,inc_pov_bin,True,xgboost
asian,1017,369.51,349.14,390.62,250568.97,209181.93,307321.57,0.58,0.53,0.63,ukb_val,fvc,8,inc_pov_bin,True,xgboost
