group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
asian,88,217.86,173.31,266.98,96965.24,60922.01,141810.40,0.87,0.79,0.92,nh4,fvc,5,sit_height,True,xgboost
hispanic,629,242.54,224.30,261.24,121675.26,103032.95,143190.78,0.85,0.82,0.88,nh4,fvc,5,sit_height,True,xgboost
other,63,298.34,235.24,374.38,173616.67,100613.02,266937.37,0.76,0.61,0.87,nh4,fvc,5,sit_height,True,xgboost
All,1007,430.43,409.91,450.33,301482.44,273777.40,330409.56,0.66,0.62,0.70,nh_val,fvc,6,waist_circ,True,xgboost
white,399,434.76,398.70,470.55,308285.61,261171.38,359339.63,0.70,0.64,0.75,nh_val,fvc,6,waist_circ,True,xgboost
black,222,449.74,403.80,497.19,327032.17,256892.53,408013.70,0.44,0.29,0.56,nh_val,fvc,6,waist_circ,True,xgboost
asian,26,360.51,271.63,459.05,184629.67,110448.25,268893.06,0.44,-0.11,0.74,nh_val,fvc,6,waist_circ,True,xgboost
hispanic,315,401.63,363.99,436.98,270119.22,224340.49,319877.83,0.68,0.62,0.73,nh_val,fvc,6,waist_circ,True,xgboost
other,45,533.68,449.43,619.52,384440.90,283101.48,494262.70,0.50,0.24,0.65,nh_val,fvc,6,waist_circ,True,xgboost
All,144198,487.93,485.77,489.93,402185.41,398269.52,405803.04,0.53,0.52,0.53,ukb,fvc,6,waist_circ,True,xgboost
white,136520,487.15,485.00,489.32,401816.70,398084.28,405802.01,0.52,0.51,0.52,ukb,fvc,6,waist_circ,True,xgboost
black,1963,478.21,460.58,494.05,375457.77,348424.10,404394.15,0.38,0.33,0.44,ukb,fvc,6,waist_circ,True,xgboost
asian,3389,490.55,477.96,504.31,385604.98,365403.44,409106.34,0.37,0.33,0.41,ukb,fvc,6,waist_circ,True,xgboost
other,2326,539.94,522.66,557.74,475213.59,444943.76,509545.29,0.41,0.36,0.45,ukb,fvc,6,waist_circ,True,xgboost
All,1569,205.17,194.11,216.88,101900.25,88706.28,115075.56,0.89,0.88,0.91,nh3,fvc,6,waist_circ,True,xgboost
white,697,198.87,181.04,218.61,95542.80,78570.60,114951.99,0.90,0.88,0.92,nh3,fvc,6,waist_circ,True,xgboost
black,367,214.67,187.62,241.79,111791.22,80044.31,152075.92,0.87,0.82,0.91,nh3,fvc,6,waist_circ,True,xgboost
hispanic,420,200.38,177.66,225.37,98382.01,73558.77,127609.21,0.87,0.84,0.91,nh3,fvc,6,waist_circ,True,xgboost
other,85,239.63,188.95,297.31,127021.62,78543.55,181777.66,0.82,0.71,0.90,nh3,fvc,6,waist_circ,True,xgboost
All,1785,217.93,206.79,229.96,113132.89,99630.13,128625.88,0.88,0.86,0.89,nh4,fvc,6,waist_circ,True,xgboost
white,633,219.12,198.51,241.11,123467.30,96721.67,154387.21,0.88,0.85,0.91,nh4,fvc,6,waist_circ,True,xgboost
black,372,225.77,199.13,252.27,120913.14,86767.16,157049.41,0.81,0.74,0.86,nh4,fvc,6,waist_circ,True,xgboost
asian,88,182.29,144.48,224.78,70448.91,43723.78,101984.33,0.90,0.84,0.95,nh4,fvc,6,waist_circ,True,xgboost
hispanic,629,210.83,193.55,228.61,99297.58,80184.65,120001.68,0.88,0.85,0.90,nh4,fvc,6,waist_circ,True,xgboost
other,63,275.04,206.07,344.22,150743.31,84561.71,229679.96,0.79,0.66,0.88,nh4,fvc,6,waist_circ,True,xgboost
All,1007,418.23,398.33,438.88,289270.27,261904.58,319486.22,0.68,0.64,0.71,nh_val,fvc,7,immigrant,True,xgboost
white,399,430.48,395.67,465.35,305328.78,254655.87,359743.36,0.70,0.64,0.75,nh_val,fvc,7,immigrant,True,xgboost
black,222,416.81,370.36,466.73,294633.05,226443.49,376750.99,0.50,0.34,0.61,nh_val,fvc,7,immigrant,True,xgboost
asian,26,346.33,248.94,449.60,185107.54,92878.72,293807.59,0.46,-0.02,0.73,nh_val,fvc,7,immigrant,True,xgboost
hispanic,315,392.17,359.12,427.80,255362.68,214336.06,299374.08,0.70,0.64,0.75,nh_val,fvc,7,immigrant,True,xgboost
other,45,536.14,445.89,630.68,400001.51,290550.56,523540.47,0.48,0.24,0.65,nh_val,fvc,7,immigrant,True,xgboost
All,144198,481.70,479.55,483.71,389973.53,386056.01,393486.02,0.54,0.53,0.54,ukb,fvc,7,immigrant,True,xgboost
white,136520,480.96,478.84,483.05,389564.07,386026.26,393428.84,0.53,0.53,0.54,ukb,fvc,7,immigrant,True,xgboost
black,1963,459.79,442.47,476.24,350910.35,324893.91,378029.35,0.42,0.37,0.48,ukb,fvc,7,immigrant,True,xgboost
asian,3389,487.45,474.04,500.41,379559.55,358850.73,401853.28,0.38,0.34,0.42,ukb,fvc,7,immigrant,True,xgboost
other,2326,536.65,519.93,553.98,464918.12,436343.53,498782.79,0.42,0.37,0.46,ukb,fvc,7,immigrant,True,xgboost
