group,n,mae,mae_ci_lower,mae_ci_upper,mse,mse_ci_lower,mse_ci_upper,r2,r2_ci_lower,r2_ci_upper,set,target,n_cov,cov,race_adj,model
white,136520,501.70,499.48,504.08,429127.27,425050.41,433482.29,0.48,0.48,0.49,ukb,fvc,4,sit_height,False,xgboost
black,1963,625.22,604.12,646.24,611874.32,571136.76,653001.54,-0.00,-0.09,0.09,ukb,fvc,4,sit_height,False,xgboost
asian,3389,670.79,654.38,686.99,666459.41,636767.46,698365.46,-0.09,-0.17,-0.01,ukb,fvc,4,sit_height,False,xgboost
other,2326,524.36,507.82,541.66,459100.99,429183.05,492418.80,0.43,0.38,0.47,ukb,fvc,4,sit_height,False,xgboost
All,1569,256.55,244.52,270.04,138999.61,122930.69,157500.55,0.85,0.83,0.87,nh3,fvc,4,sit_height,False,xgboost
white,697,258.30,237.53,280.67,141017.01,115675.77,169332.71,0.86,0.83,0.89,nh3,fvc,4,sit_height,False,xgboost
black,367,272.79,244.30,302.32,160561.35,116772.98,222035.50,0.81,0.73,0.87,nh3,fvc,4,sit_height,False,xgboost
hispanic,420,236.59,213.96,262.38,116232.51,91256.57,143565.67,0.85,0.82,0.88,nh3,fvc,4,sit_height,False,xgboost
other,85,265.02,215.20,320.01,134833.75,90742.37,187947.18,0.81,0.70,0.89,nh3,fvc,4,sit_height,False,xgboost
All,1785,282.52,269.54,295.73,166625.88,149882.78,184541.19,0.82,0.80,0.84,nh4,fvc,4,sit_height,False,xgboost
white,633,274.28,251.16,301.31,171177.19,137408.24,209163.06,0.84,0.81,0.87,nh4,fvc,4,sit_height,False,xgboost
black,372,331.64,300.91,367.25,221886.97,180783.65,269585.72,0.64,0.56,0.72,nh4,fvc,4,sit_height,False,xgboost
asian,88,286.56,241.28,333.23,136028.76,95008.69,185749.00,0.82,0.72,0.89,nh4,fvc,4,sit_height,False,xgboost
hispanic,629,256.23,237.38,274.17,128481.03,109813.49,147537.02,0.84,0.82,0.87,nh4,fvc,4,sit_height,False,xgboost
other,63,327.04,256.94,408.76,208948.06,111460.43,345240.44,0.71,0.54,0.84,nh4,fvc,4,sit_height,False,xgboost
All,1007,475.97,454.06,498.08,366602.45,333119.06,400960.30,0.59,0.55,0.63,nh_val,fvc,5,waist_circ,False,xgboost
white,399,479.53,441.59,518.20,377574.19,317127.79,443448.62,0.63,0.57,0.69,nh_val,fvc,5,waist_circ,False,xgboost
black,222,529.04,477.03,585.42,442471.38,356816.83,541635.54,0.24,0.03,0.41,nh_val,fvc,5,waist_circ,False,xgboost
asian,26,399.42,281.50,522.86,253691.78,145337.02,380874.99,0.23,-0.53,0.68,nh_val,fvc,5,waist_circ,False,xgboost
hispanic,315,434.66,399.04,473.65,308247.84,260807.18,357763.12,0.63,0.57,0.69,nh_val,fvc,5,waist_circ,False,xgboost
other,45,503.08,417.04,591.68,349616.76,260095.83,447589.35,0.54,0.27,0.70,nh_val,fvc,5,waist_circ,False,xgboost
All,144198,494.46,492.30,496.49,413639.91,409716.44,417431.82,0.51,0.51,0.52,ukb,fvc,5,waist_circ,False,xgboost
white,136520,485.88,483.67,488.12,401019.81,397272.91,404896.39,0.52,0.51,0.52,ukb,fvc,5,waist_circ,False,xgboost
black,1963,666.36,645.19,687.73,673125.11,629528.99,715625.43,-0.10,-0.21,-0.00,ukb,fvc,5,waist_circ,False,xgboost
asian,3389,714.54,699.07,730.77,735420.66,704425.38,767203.93,-0.20,-0.28,-0.12,ukb,fvc,5,waist_circ,False,xgboost
other,2326,532.54,516.33,551.55,469336.97,440639.14,502363.25,0.41,0.36,0.46,ukb,fvc,5,waist_circ,False,xgboost
All,1569,227.25,214.86,240.84,123062.95,108686.59,138859.77,0.87,0.85,0.89,nh3,fvc,5,waist_circ,False,xgboost
white,697,220.17,199.97,241.07,118565.80,97055.67,142198.83,0.88,0.86,0.90,nh3,fvc,5,waist_circ,False,xgboost
black,367,244.74,217.03,272.73,140904.26,104151.45,184130.74,0.83,0.77,0.88,nh3,fvc,5,waist_circ,False,xgboost
hispanic,420,216.94,194.31,242.68,111486.66,85878.67,141294.10,0.86,0.82,0.89,nh3,fvc,5,waist_circ,False,xgboost
other,85,250.62,200.60,306.44,130160.71,84383.03,181968.46,0.82,0.70,0.90,nh3,fvc,5,waist_circ,False,xgboost
All,1785,248.33,235.79,261.65,143742.91,126644.85,162742.19,0.85,0.83,0.87,nh4,fvc,5,waist_circ,False,xgboost
white,633,245.49,222.51,270.42,151538.97,117668.28,191903.57,0.86,0.82,0.89,nh4,fvc,5,waist_circ,False,xgboost
black,372,275.41,243.83,307.59,177947.19,138533.45,222101.13,0.72,0.63,0.79,nh4,fvc,5,waist_circ,False,xgboost
asian,88,260.99,213.96,314.20,124586.26,83526.88,170291.05,0.83,0.73,0.91,nh4,fvc,5,waist_circ,False,xgboost
hispanic,629,231.87,213.84,250.90,119009.21,98708.91,139384.21,0.86,0.83,0.88,nh4,fvc,5,waist_circ,False,xgboost
other,63,261.04,202.85,324.96,131139.09,77548.62,193188.86,0.82,0.70,0.90,nh4,fvc,5,waist_circ,False,xgboost
All,1007,471.11,449.06,493.83,364847.62,328836.09,401975.07,0.59,0.55,0.63,nh_val,fvc,6,immigrant,False,xgboost
white,399,467.17,429.30,508.02,377043.55,313634.89,449353.66,0.63,0.56,0.69,nh_val,fvc,6,immigrant,False,xgboost
black,222,530.79,477.77,585.93,445493.95,354953.83,546990.36,0.24,0.03,0.41,nh_val,fvc,6,immigrant,False,xgboost
asian,26,370.42,259.90,496.69,236069.27,119106.56,394224.61,0.29,-0.41,0.72,nh_val,fvc,6,immigrant,False,xgboost
hispanic,315,435.35,400.33,472.20,301124.10,253519.81,352365.61,0.64,0.58,0.70,nh_val,fvc,6,immigrant,False,xgboost
other,45,511.52,420.02,607.99,364752.98,248734.56,508649.86,0.52,0.25,0.70,nh_val,fvc,6,immigrant,False,xgboost
All,144198,493.72,491.59,495.76,411734.99,407825.85,415336.12,0.51,0.51,0.52,ukb,fvc,6,immigrant,False,xgboost
white,136520,486.66,484.59,488.95,401823.06,398075.28,405796.54,0.52,0.51,0.52,ukb,fvc,6,immigrant,False,xgboost
black,1963,636.13,614.58,657.50,626311.50,584824.62,666976.17,-0.03,-0.12,0.07,ukb,fvc,6,immigrant,False,xgboost
asian,3389,674.37,658.67,690.10,664367.21,634925.73,696567.40,-0.08,-0.16,-0.01,ukb,fvc,6,immigrant,False,xgboost
other,2326,525.22,508.41,542.88,447463.03,419493.96,479190.17,0.44,0.40,0.48,ukb,fvc,6,immigrant,False,xgboost
All,1569,224.68,211.87,238.04,122248.30,106795.77,139136.75,0.87,0.85,0.89,nh3,fvc,6,immigrant,False,xgboost
white,697,220.85,202.03,242.26,117992.43,94983.36,141975.64,0.88,0.86,0.90,nh3,fvc,6,immigrant,False,xgboost
black,367,243.85,215.39,273.89,140899.61,105293.07,183497.24,0.83,0.78,0.88,nh3,fvc,6,immigrant,False,xgboost
hispanic,420,212.68,189.06,239.48,111270.84,82998.72,145832.81,0.86,0.82,0.89,nh3,fvc,6,immigrant,False,xgboost
other,85,226.01,174.78,284.28,121428.31,67370.81,188633.79,0.83,0.71,0.91,nh3,fvc,6,immigrant,False,xgboost
All,1785,245.16,232.50,258.76,141997.85,124399.99,160539.29,0.85,0.83,0.87,nh4,fvc,6,immigrant,False,xgboost
white,633,239.92,216.49,265.11,152255.15,116396.84,191293.76,0.86,0.82,0.89,nh4,fvc,6,immigrant,False,xgboost
black,372,278.32,247.57,310.17,182128.57,138458.61,231643.45,0.71,0.62,0.78,nh4,fvc,6,immigrant,False,xgboost
asian,88,229.41,183.82,280.43,108684.75,66897.26,164073.84,0.85,0.75,0.92,nh4,fvc,6,immigrant,False,xgboost
hispanic,629,229.64,211.80,248.68,111142.78,93475.14,130054.70,0.86,0.84,0.89,nh4,fvc,6,immigrant,False,xgboost
other,63,276.14,210.52,344.17,148195.19,88886.78,219077.30,0.79,0.66,0.89,nh4,fvc,6,immigrant,False,xgboost
All,1007,475.98,454.30,498.87,372059.75,335316.11,409344.33,0.58,0.54,0.63,nh_val,fvc,7,inc_pov_bin,False,xgboost
white,399,474.49,437.50,513.51,381720.56,319145.45,451502.71,0.62,0.56,0.68,nh_val,fvc,7,inc_pov_bin,False,xgboost
black,222,519.75,466.07,576.87,446880.06,356848.18,548567.40,0.24,0.01,0.41,nh_val,fvc,7,inc_pov_bin,False,xgboost
asian,26,384.48,272.28,506.27,245845.39,125293.95,381179.00,0.25,-0.50,0.71,nh_val,fvc,7,inc_pov_bin,False,xgboost
hispanic,315,448.34,413.53,482.90,314764.44,268261.75,364149.05,0.63,0.56,0.68,nh_val,fvc,7,inc_pov_bin,False,xgboost
other,45,504.48,412.45,597.64,364973.19,252848.46,491573.95,0.52,0.26,0.68,nh_val,fvc,7,inc_pov_bin,False,xgboost
All,144198,497.97,495.88,500.11,418249.70,414327.16,422079.70,0.51,0.50,0.51,ukb,fvc,7,inc_pov_bin,False,xgboost
white,136520,490.94,488.79,493.09,408425.69,404372.80,412353.07,0.51,0.50,0.51,ukb,fvc,7,inc_pov_bin,False,xgboost
black,1963,639.23,617.81,660.21,626872.82,585644.73,666202.13,-0.03,-0.12,0.06,ukb,fvc,7,inc_pov_bin,False,xgboost
asian,3389,683.58,668.51,699.76,676818.78,648432.91,709957.49,-0.10,-0.18,-0.03,ukb,fvc,7,inc_pov_bin,False,xgboost
other,2326,520.84,503.90,538.03,442222.07,414957.14,473516.96,0.45,0.40,0.49,ukb,fvc,7,inc_pov_bin,False,xgboost
All,1569,222.97,210.82,237.16,119380.55,105122.16,135692.76,0.87,0.85,0.89,nh3,fvc,7,inc_pov_bin,False,xgboost
white,697,219.61,200.52,239.67,115891.67,95090.16,137679.22,0.88,0.86,0.91,nh3,fvc,7,inc_pov_bin,False,xgboost
black,367,238.79,211.32,268.87,140537.89,100894.74,190404.93,0.83,0.77,0.89,nh3,fvc,7,inc_pov_bin,False,xgboost
hispanic,420,214.01,191.01,239.86,106394.83,81484.25,136410.74,0.86,0.83,0.90,nh3,fvc,7,inc_pov_bin,False,xgboost
other,85,219.50,169.60,277.35,112496.05,65622.93,167839.35,0.84,0.73,0.92,nh3,fvc,7,inc_pov_bin,False,xgboost
All,1785,242.87,229.09,257.61,145730.52,126481.33,166171.31,0.84,0.82,0.86,nh4,fvc,7,inc_pov_bin,False,xgboost
white,633,240.63,217.53,266.00,154231.13,117343.42,195195.45,0.86,0.82,0.89,nh4,fvc,7,inc_pov_bin,False,xgboost
black,372,271.82,240.68,304.68,180804.22,137560.69,229224.69,0.71,0.61,0.79,nh4,fvc,7,inc_pov_bin,False,xgboost
asian,88,237.60,193.45,286.95,112298.00,72198.84,158898.92,0.85,0.74,0.92,nh4,fvc,7,inc_pov_bin,False,xgboost
hispanic,629,226.45,206.77,246.56,119082.59,96867.76,141167.72,0.86,0.82,0.88,nh4,fvc,7,inc_pov_bin,False,xgboost
other,63,254.36,185.54,330.00,147424.98,83017.72,228465.58,0.79,0.67,0.89,nh4,fvc,7,inc_pov_bin,False,xgboost
All,1007,465.25,443.08,486.29,351472.49,317537.44,382368.41,0.61,0.56,0.65,nh_val,fvc,8,hs_grad,False,xgboost
white,399,459.48,423.29,498.32,356728.18,298327.27,418900.15,0.65,0.59,0.70,nh_val,fvc,8,hs_grad,False,xgboost
black,222,526.24,475.87,578.84,424479.59,345948.37,512026.56,0.28,0.09,0.43,nh_val,fvc,8,hs_grad,False,xgboost
asian,26,364.19,258.50,477.19,218883.31,121247.66,334745.70,0.34,-0.22,0.71,nh_val,fvc,8,hs_grad,False,xgboost
hispanic,315,430.21,396.71,467.84,298061.92,254002.73,348779.72,0.65,0.58,0.70,nh_val,fvc,8,hs_grad,False,xgboost
other,45,510.01,416.91,615.94,377934.66,260973.77,518689.50,0.51,0.24,0.68,nh_val,fvc,8,hs_grad,False,xgboost
All,144198,490.05,487.98,492.17,405194.81,401295.39,408930.49,0.52,0.52,0.53,ukb,fvc,8,hs_grad,False,xgboost
white,136520,483.18,481.05,485.55,395683.99,391996.89,399618.80,0.53,0.52,0.53,ukb,fvc,8,hs_grad,False,xgboost
black,1963,625.05,604.28,644.64,601381.21,562319.64,639830.73,0.01,-0.08,0.10,ukb,fvc,8,hs_grad,False,xgboost
asian,3389,672.19,656.24,687.18,654006.01,625740.24,684290.83,-0.07,-0.14,0.00,ukb,fvc,8,hs_grad,False,xgboost
other,2326,517.40,500.83,534.15,440364.08,412464.08,472059.05,0.45,0.40,0.49,ukb,fvc,8,hs_grad,False,xgboost
All,1569,215.14,203.19,228.43,113741.16,100283.62,129912.84,0.88,0.86,0.90,nh3,fvc,8,hs_grad,False,xgboost
white,697,212.51,193.42,232.14,110677.20,91170.06,131460.05,0.89,0.87,0.91,nh3,fvc,8,hs_grad,False,xgboost
black,367,234.28,208.02,263.96,131259.46,95851.97,175796.09,0.85,0.79,0.89,nh3,fvc,8,hs_grad,False,xgboost
hispanic,420,201.71,178.53,227.03,99979.69,75997.05,130263.99,0.87,0.83,0.90,nh3,fvc,8,hs_grad,False,xgboost
other,85,216.77,161.02,278.13,125301.03,67879.29,191359.89,0.82,0.71,0.91,nh3,fvc,8,hs_grad,False,xgboost
All,1785,236.41,223.69,250.19,135720.79,119481.26,153097.15,0.86,0.84,0.87,nh4,fvc,8,hs_grad,False,xgboost
white,633,235.02,213.33,260.69,143051.74,109900.70,181951.63,0.87,0.83,0.90,nh4,fvc,8,hs_grad,False,xgboost
black,372,270.99,240.84,302.35,171451.63,130648.71,215583.52,0.73,0.64,0.79,nh4,fvc,8,hs_grad,False,xgboost
asian,88,223.67,181.10,272.62,101870.52,68091.30,141813.27,0.86,0.77,0.92,nh4,fvc,8,hs_grad,False,xgboost
hispanic,629,217.30,197.96,236.04,110946.91,92009.93,130637.64,0.87,0.84,0.89,nh4,fvc,8,hs_grad,False,xgboost
other,63,251.48,188.84,319.86,138000.98,78274.75,212702.05,0.81,0.68,0.90,nh4,fvc,8,hs_grad,False,xgboost
All,1007,472.66,451.03,494.28,367857.57,333367.27,402803.32,0.59,0.54,0.63,nh_val,fvc,9,smoke_exposure,False,xgboost
white,399,478.83,440.06,520.19,391335.99,327810.50,458806.73,0.61,0.55,0.67,nh_val,fvc,9,smoke_exposure,False,xgboost
black,222,531.10,482.00,585.45,433783.88,358083.89,522773.52,0.26,0.06,0.42,nh_val,fvc,9,smoke_exposure,False,xgboost
asian,26,359.98,268.97,458.66,194350.90,110888.46,289712.44,0.41,-0.10,0.73,nh_val,fvc,9,smoke_exposure,False,xgboost
hispanic,315,431.21,393.74,468.99,309495.75,256788.34,364323.77,0.63,0.56,0.70,nh_val,fvc,9,smoke_exposure,False,xgboost
other,45,472.23,383.91,566.90,323868.00,221704.66,446096.40,0.57,0.32,0.74,nh_val,fvc,9,smoke_exposure,False,xgboost
All,144198,495.98,493.74,498.04,413428.16,409534.65,417208.06,0.51,0.51,0.52,ukb,fvc,9,smoke_exposure,False,xgboost
white,136520,489.78,487.67,492.06,404993.73,401113.98,409030.20,0.51,0.51,0.52,ukb,fvc,9,smoke_exposure,False,xgboost
black,1963,616.17,596.76,636.63,590563.67,551887.05,628641.82,0.03,-0.06,0.12,ukb,fvc,9,smoke_exposure,False,xgboost
asian,3389,658.15,643.13,672.94,631280.47,604936.86,659200.47,-0.03,-0.10,0.04,ukb,fvc,9,smoke_exposure,False,xgboost
other,2326,522.26,505.50,539.69,443345.49,415713.99,474410.36,0.45,0.40,0.49,ukb,fvc,9,smoke_exposure,False,xgboost
All,1569,215.05,202.52,228.72,118196.37,102908.26,135090.84,0.87,0.86,0.89,nh3,fvc,9,smoke_exposure,False,xgboost
white,697,213.70,194.02,234.59,116705.04,94689.93,140888.25,0.88,0.86,0.91,nh3,fvc,9,smoke_exposure,False,xgboost
black,367,235.21,206.78,266.17,136818.20,99813.89,181972.65,0.84,0.78,0.89,nh3,fvc,9,smoke_exposure,False,xgboost
hispanic,420,201.77,177.93,227.51,107228.63,76243.57,143543.27,0.86,0.82,0.90,nh3,fvc,9,smoke_exposure,False,xgboost
other,85,199.59,153.28,254.95,97286.47,55055.84,144012.21,0.86,0.77,0.93,nh3,fvc,9,smoke_exposure,False,xgboost
All,1785,238.44,225.31,252.21,139401.18,121473.27,157636.01,0.85,0.83,0.87,nh4,fvc,9,smoke_exposure,False,xgboost
white,633,239.34,214.86,266.12,154879.53,117836.62,196579.39,0.86,0.82,0.89,nh4,fvc,9,smoke_exposure,False,xgboost
black,372,272.95,243.21,304.70,170786.22,133798.22,211021.85,0.73,0.65,0.79,nh4,fvc,9,smoke_exposure,False,xgboost
asian,88,217.05,177.64,263.43,89397.16,60245.55,126808.75,0.88,0.81,0.93,nh4,fvc,9,smoke_exposure,False,xgboost
hispanic,629,218.49,200.18,236.78,111527.47,91549.47,131749.44,0.86,0.84,0.89,nh4,fvc,9,smoke_exposure,False,xgboost
other,63,246.67,181.80,319.57,133402.27,72351.22,212919.71,0.81,0.66,0.90,nh4,fvc,9,smoke_exposure,False,xgboost
All,1007,442.29,421.33,463.93,318206.83,286712.08,352349.90,0.64,0.60,0.68,nh_val,fvc,3,GLI global,False,gli_global
white,399,430.63,399.76,463.28,294326.22,251828.54,341751.21,0.71,0.66,0.75,nh_val,fvc,3,GLI global,False,gli_global
black,222,575.40,517.75,630.29,517725.47,416693.53,626218.76,0.12,-0.14,0.32,nh_val,fvc,3,GLI global,False,gli_global
asian,26,345.09,258.49,445.32,185276.91,94118.56,316318.79,0.45,-0.06,0.76,nh_val,fvc,3,GLI global,False,gli_global
hispanic,315,369.51,337.85,401.37,219786.62,185151.10,258853.43,0.74,0.69,0.78,nh_val,fvc,3,GLI global,False,gli_global
other,45,446.99,361.42,543.66,298017.44,201931.69,410660.25,0.61,0.37,0.76,nh_val,fvc,3,GLI global,False,gli_global
All,144198,422.25,420.48,424.10,305110.85,302216.19,307920.46,0.64,0.64,0.64,ukb,fvc,3,GLI global,False,gli_global
white,136520,411.12,409.35,412.99,289668.11,286851.09,292612.47,0.65,0.65,0.66,ukb,fvc,3,GLI global,False,gli_global
black,1963,724.83,704.59,745.41,738140.57,699102.25,777224.27,-0.21,-0.32,-0.11,ukb,fvc,3,GLI global,False,gli_global
asian,3389,661.76,648.27,676.60,628077.63,602180.05,654620.99,-0.02,-0.09,0.04,ukb,fvc,3,GLI global,False,gli_global
other,2326,471.67,456.21,487.66,377533.58,352998.65,404798.05,0.53,0.49,0.56,ukb,fvc,3,GLI global,False,gli_global
All,1569,461.96,444.34,479.44,351671.42,324645.53,380056.06,0.63,0.59,0.66,nh3,fvc,3,GLI global,False,gli_global
white,697,425.51,399.96,450.13,295007.61,261716.00,329294.78,0.70,0.67,0.74,nh3,fvc,3,GLI global,False,gli_global
black,367,600.77,552.98,647.09,571834.62,483601.69,658620.39,0.33,0.18,0.45,nh3,fvc,3,GLI global,False,gli_global
hispanic,420,392.61,363.08,422.03,249549.47,215590.33,285246.56,0.68,0.63,0.73,nh3,fvc,3,GLI global,False,gli_global
other,85,512.50,438.94,586.20,385579.95,301255.77,476877.40,0.46,0.23,0.64,nh3,fvc,3,GLI global,False,gli_global
All,1785,432.73,415.53,448.53,308940.41,285046.22,332390.59,0.67,0.64,0.70,nh4,fvc,3,GLI global,False,gli_global
white,633,415.81,392.48,442.68,276067.38,245995.79,311638.97,0.74,0.71,0.77,nh4,fvc,3,GLI global,False,gli_global
black,372,573.82,533.31,620.35,520125.06,450629.40,597883.84,0.17,-0.03,0.33,nh4,fvc,3,GLI global,False,gli_global
asian,88,455.91,380.77,534.23,352536.41,249215.57,474907.56,0.52,0.30,0.69,nh4,fvc,3,GLI global,False,gli_global
hispanic,629,366.07,345.05,386.39,217528.57,193668.55,241943.39,0.74,0.70,0.77,nh4,fvc,3,GLI global,False,gli_global
other,63,407.17,338.19,472.27,246613.43,179992.03,317033.85,0.65,0.50,0.77,nh4,fvc,3,GLI global,False,gli_global
All,1007,345.85,329.22,364.26,198141.10,179704.36,218881.71,0.64,0.60,0.68,nh_val,fev1,4,height,True,xgboost
white,399,338.63,311.18,366.29,193246.73,163260.33,229601.49,0.69,0.63,0.75,nh_val,fev1,4,height,True,xgboost
black,222,357.33,318.24,396.26,220017.49,171221.66,271209.98,0.44,0.28,0.56,nh_val,fev1,4,height,True,xgboost
asian,26,285.58,195.34,391.97,149837.21,58685.33,264526.59,0.38,-0.17,0.75,nh_val,fev1,4,height,True,xgboost
hispanic,315,339.09,313.11,368.31,181828.21,155121.43,211842.19,0.66,0.59,0.73,nh_val,fev1,4,height,True,xgboost
other,45,428.92,346.12,512.04,262996.31,175982.63,358247.67,0.41,0.04,0.65,nh_val,fev1,4,height,True,xgboost
All,144198,382.32,380.66,383.91,246945.47,244606.71,249103.44,0.53,0.52,0.53,ukb,fev1,4,height,True,xgboost
white,136520,380.23,378.60,381.96,244484.34,242174.55,246813.39,0.52,0.52,0.53,ukb,fev1,4,height,True,xgboost
black,1963,397.49,383.58,411.43,264944.33,247078.70,284579.63,0.33,0.27,0.39,ukb,fev1,4,height,True,xgboost
asian,3389,413.08,402.44,424.46,276997.07,260899.42,295053.09,0.29,0.25,0.33,ukb,fev1,4,height,True,xgboost
other,2326,447.39,433.09,461.73,333071.42,312003.15,354549.95,0.33,0.27,0.38,ukb,fev1,4,height,True,xgboost
All,1569,210.41,200.71,220.64,86152.72,77469.82,95539.97,0.85,0.83,0.87,nh3,fev1,4,height,True,xgboost
white,697,203.14,188.36,218.17,80951.83,68675.90,94214.92,0.87,0.85,0.89,nh3,fev1,4,height,True,xgboost
black,367,222.45,200.10,245.60,99130.66,77630.66,124605.96,0.81,0.75,0.86,nh3,fev1,4,height,True,xgboost
hispanic,420,204.75,186.18,223.76,79182.39,64827.38,94726.21,0.84,0.81,0.87,nh3,fev1,4,height,True,xgboost
other,85,247.43,203.06,294.72,109784.43,73373.29,153465.84,0.76,0.58,0.88,nh3,fev1,4,height,True,xgboost
All,1785,217.91,208.27,228.31,93552.27,84069.90,103969.83,0.84,0.82,0.86,nh4,fev1,4,height,True,xgboost
white,633,218.66,202.32,236.23,95745.68,79627.51,116206.13,0.85,0.82,0.88,nh4,fev1,4,height,True,xgboost
black,372,229.57,207.39,253.83,106357.35,84892.12,131180.71,0.74,0.67,0.80,nh4,fev1,4,height,True,xgboost
asian,88,180.89,142.62,227.61,67910.76,36896.58,108171.91,0.85,0.74,0.92,nh4,fev1,4,height,True,xgboost
hispanic,629,205.99,191.81,221.04,81137.63,69166.57,94459.82,0.84,0.81,0.87,nh4,fev1,4,height,True,xgboost
other,63,302.17,247.10,363.66,146586.36,96372.98,205765.48,0.68,0.49,0.82,nh4,fev1,4,height,True,xgboost
All,1007,333.15,317.62,350.42,182704.93,167260.45,200809.55,0.67,0.63,0.71,nh_val,fev1,5,sit_height,True,xgboost
white,399,332.43,306.73,359.14,182850.30,154922.78,211786.21,0.71,0.65,0.76,nh_val,fev1,5,sit_height,True,xgboost
black,222,328.91,292.06,364.34,182701.11,144775.63,226730.68,0.53,0.41,0.63,nh_val,fev1,5,sit_height,True,xgboost
asian,26,313.37,226.99,404.84,151163.00,85509.61,228216.20,0.37,-0.14,0.68,nh_val,fev1,5,sit_height,True,xgboost
hispanic,315,329.13,300.68,357.99,176426.74,148928.79,204082.13,0.67,0.60,0.73,nh_val,fev1,5,sit_height,True,xgboost
other,45,395.86,321.63,481.31,233725.93,164422.94,317537.48,0.48,0.21,0.66,nh_val,fev1,5,sit_height,True,xgboost
All,144198,384.70,383.09,386.34,250586.29,248294.79,252710.47,0.52,0.51,0.52,ukb,fev1,5,sit_height,True,xgboost
white,136520,383.64,381.95,385.27,249597.09,247259.25,252000.93,0.51,0.51,0.52,ukb,fev1,5,sit_height,True,xgboost
black,1963,389.95,376.59,403.40,253304.62,235364.00,272698.22,0.36,0.31,0.41,ukb,fev1,5,sit_height,True,xgboost
asian,3389,391.46,380.87,401.79,247249.94,233462.21,261750.95,0.37,0.33,0.41,ukb,fev1,5,sit_height,True,xgboost
other,2326,432.00,418.36,446.57,310229.27,289997.27,332881.07,0.37,0.32,0.42,ukb,fev1,5,sit_height,True,xgboost
All,1569,173.58,164.53,183.25,66164.52,58328.78,75562.74,0.89,0.87,0.90,nh3,fev1,5,sit_height,True,xgboost
white,697,166.67,153.61,180.08,59845.02,49282.29,70568.93,0.90,0.88,0.92,nh3,fev1,5,sit_height,True,xgboost
black,367,179.73,157.75,202.42,74595.97,55796.47,98549.97,0.86,0.81,0.90,nh3,fev1,5,sit_height,True,xgboost
hispanic,420,174.89,157.17,194.50,66650.75,51843.06,82694.99,0.87,0.83,0.89,nh3,fev1,5,sit_height,True,xgboost
other,85,197.66,154.80,239.83,79250.25,48696.32,112041.09,0.83,0.70,0.91,nh3,fev1,5,sit_height,True,xgboost
All,1785,191.93,183.24,200.95,77574.51,69768.04,86086.93,0.87,0.85,0.88,nh4,fev1,5,sit_height,True,xgboost
white,633,194.16,178.41,212.13,83075.02,67639.29,102520.91,0.87,0.84,0.90,nh4,fev1,5,sit_height,True,xgboost
black,372,183.46,164.90,203.80,71538.01,56415.51,88248.34,0.83,0.78,0.87,nh4,fev1,5,sit_height,True,xgboost
asian,88,192.01,158.03,229.62,66430.00,43279.76,93720.36,0.85,0.76,0.91,nh4,fev1,5,sit_height,True,xgboost
hispanic,629,188.35,174.16,202.76,72344.96,61111.81,84022.65,0.86,0.83,0.89,nh4,fev1,5,sit_height,True,xgboost
other,63,251.30,197.71,313.62,120267.76,74511.67,176844.62,0.74,0.58,0.85,nh4,fev1,5,sit_height,True,xgboost
All,1007,331.32,317.35,347.82,178436.68,163655.35,194849.41,0.68,0.64,0.71,nh_val,fev1,6,waist_circ,True,xgboost
white,399,327.79,301.68,352.99,178903.45,151931.90,207373.96,0.72,0.66,0.77,nh_val,fev1,6,waist_circ,True,xgboost
black,222,339.46,304.73,374.52,186629.13,152401.93,224235.48,0.52,0.41,0.61,nh_val,fev1,6,waist_circ,True,xgboost
asian,26,309.05,235.96,395.57,136082.12,80832.39,206707.87,0.42,-0.18,0.71,nh_val,fev1,6,waist_circ,True,xgboost
hispanic,315,324.27,297.51,352.60,171928.90,144051.61,201859.47,0.68,0.61,0.74,nh_val,fev1,6,waist_circ,True,xgboost
other,45,383.99,322.23,445.85,196327.09,148408.40,247752.48,0.56,0.33,0.72,nh_val,fev1,6,waist_circ,True,xgboost
All,144198,390.52,388.91,392.12,254490.59,252286.11,256562.86,0.51,0.51,0.52,ukb,fev1,6,waist_circ,True,xgboost
white,136520,389.16,387.49,390.86,252915.15,250576.79,255203.90,0.51,0.50,0.51,ukb,fev1,6,waist_circ,True,xgboost
black,1963,393.50,380.13,408.46,259573.07,240816.49,279994.76,0.34,0.28,0.40,ukb,fev1,6,waist_circ,True,xgboost
asian,3389,404.32,394.02,414.84,265863.23,251019.78,281718.63,0.32,0.27,0.36,ukb,fev1,6,waist_circ,True,xgboost
other,2326,447.33,432.73,462.24,326115.73,306200.77,348662.27,0.34,0.28,0.39,ukb,fev1,6,waist_circ,True,xgboost
All,1569,159.33,150.55,168.62,60580.77,53052.55,68670.04,0.90,0.88,0.91,nh3,fev1,6,waist_circ,True,xgboost
white,697,153.78,140.10,168.33,58225.16,47069.07,71177.16,0.91,0.89,0.93,nh3,fev1,6,waist_circ,True,xgboost
black,367,161.69,142.05,182.47,63031.88,46276.67,82312.44,0.88,0.84,0.92,nh3,fev1,6,waist_circ,True,xgboost
hispanic,420,161.14,144.21,178.99,59336.03,43899.68,77016.88,0.88,0.84,0.91,nh3,fev1,6,waist_circ,True,xgboost
other,85,180.42,141.77,225.50,72458.13,47938.31,99917.69,0.84,0.72,0.92,nh3,fev1,6,waist_circ,True,xgboost
