group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
asian,88,720.64,878466.24,-0.15,nh,fvc,4,Sit Height,False
hispanic,1049,386.75,307543.21,0.62,nh,fvc,4,Sit Height,False
other,148,428.92,387046.98,0.48,nh,fvc,4,Sit Height,False
All,1785,638.29,695065.39,0.26,nh4,fvc,4,Sit Height,False
white,633,594.21,584663.69,0.45,nh4,fvc,4,Sit Height,False
black,372,891.42,1259250.78,-1.00,nh4,fvc,4,Sit Height,False
asian,88,720.64,878466.24,-0.15,nh4,fvc,4,Sit Height,False
hispanic,629,516.39,445872.65,0.46,nh4,fvc,4,Sit Height,False
other,63,688.45,704752.08,0.05,nh4,fvc,4,Sit Height,False
All,471,444.84,326813.73,0.64,nh3_val,fvc,6,Waist Circumference,True
white,209,450.66,355024.50,0.62,nh3_val,fvc,6,Waist Circumference,True
black,110,461.45,303470.85,0.64,nh3_val,fvc,6,Waist Circumference,True
hispanic,126,406.87,281972.21,0.64,nh3_val,fvc,6,Waist Circumference,True
other,26,511.73,416109.75,0.36,nh3_val,fvc,6,Waist Circumference,True
All,144198,510.75,432682.23,0.49,ukb,fvc,6,Waist Circumference,True
white,136520,509.81,431972.55,0.48,ukb,fvc,6,Waist Circumference,True
black,1963,508.14,424361.27,0.31,ukb,fvc,6,Waist Circumference,True
asian,3389,543.03,458076.31,0.25,ukb,fvc,6,Waist Circumference,True
other,2326,521.40,444358.42,0.45,ukb,fvc,6,Waist Circumference,True
All,3354,381.54,353608.43,0.62,nh,fvc,6,Waist Circumference,True
white,1330,357.51,314578.65,0.70,nh,fvc,6,Waist Circumference,True
black,739,440.81,490548.85,0.34,nh,fvc,6,Waist Circumference,True
asian,88,654.46,831032.78,-0.09,nh,fvc,6,Waist Circumference,True
hispanic,1049,344.97,264725.23,0.67,nh,fvc,6,Waist Circumference,True
other,148,398.44,366687.97,0.51,nh,fvc,6,Waist Circumference,True
All,1785,568.22,575049.86,0.39,nh4,fvc,6,Waist Circumference,True
white,633,564.53,539761.51,0.50,nh4,fvc,6,Waist Circumference,True
black,372,704.92,881701.48,-0.40,nh4,fvc,6,Waist Circumference,True
asian,88,654.46,831032.78,-0.09,nh4,fvc,6,Waist Circumference,True
hispanic,629,468.64,382457.97,0.54,nh4,fvc,6,Waist Circumference,True
other,63,671.71,684207.31,0.07,nh4,fvc,6,Waist Circumference,True
All,471,470.02,365467.04,0.60,nh3_val,fvc,5,Waist Circumference,False
white,209,478.43,383849.20,0.59,nh3_val,fvc,5,Waist Circumference,False
black,110,528.66,412695.56,0.51,nh3_val,fvc,5,Waist Circumference,False
hispanic,126,398.46,280832.42,0.64,nh3_val,fvc,5,Waist Circumference,False
other,26,501.18,428042.19,0.34,nh3_val,fvc,5,Waist Circumference,False
All,144198,517.18,446402.46,0.47,ukb,fvc,5,Waist Circumference,False
white,136520,509.88,435569.45,0.48,ukb,fvc,5,Waist Circumference,False
black,1963,659.42,660187.20,-0.08,ukb,fvc,5,Waist Circumference,False
asian,3389,707.85,731000.00,-0.19,ukb,fvc,5,Waist Circumference,False
other,2326,547.31,487143.11,0.39,ukb,fvc,5,Waist Circumference,False
All,3354,428.36,431753.70,0.54,nh,fvc,5,Waist Circumference,False
white,1330,383.67,352482.26,0.66,nh,fvc,5,Waist Circumference,False
black,739,542.41,680458.54,0.09,nh,fvc,5,Waist Circumference,False
asian,88,719.56,888921.15,-0.16,nh,fvc,5,Waist Circumference,False
hispanic,1049,382.21,324967.33,0.60,nh,fvc,5,Waist Circumference,False
other,148,414.51,387336.77,0.48,nh,fvc,5,Waist Circumference,False
All,1785,639.10,709160.83,0.24,nh4,fvc,5,Waist Circumference,False
white,633,599.11,607420.74,0.43,nh4,fvc,5,Waist Circumference,False
black,372,878.47,1224341.90,-0.94,nh4,fvc,5,Waist Circumference,False
asian,88,719.56,888921.15,-0.16,nh4,fvc,5,Waist Circumference,False
hispanic,629,521.85,480497.95,0.42,nh4,fvc,5,Waist Circumference,False
other,63,685.69,721290.48,0.02,nh4,fvc,5,Waist Circumference,False
