group,n,mae,mse,r2,set,target,n_cov,cov,race_adj
other,26,356.22,205172.54,0.53,nh3_val,fev1,4,Sit Height,False
All,144198,409.90,281780.46,0.46,ukb,fev1,4,Sit Height,False
white,136520,402.66,272305.00,0.47,ukb,fev1,4,Sit Height,False
black,1963,559.09,498341.22,-0.26,ukb,fev1,4,Sit Height,False
asian,3389,588.76,504439.22,-0.29,ukb,fev1,4,Sit Height,False
other,2326,448.37,330744.62,0.33,ukb,fev1,4,Sit Height,False
All,3354,345.13,259977.97,0.55,nh,fev1,4,Sit Height,False
white,1330,291.21,188504.94,0.71,nh,fev1,4,Sit Height,False
black,739,432.77,408254.99,0.14,nh,fev1,4,Sit Height,False
asian,88,677.73,708859.17,-0.56,nh,fev1,4,Sit Height,False
hispanic,1049,324.19,207949.42,0.60,nh,fev1,4,Sit Height,False
other,148,342.76,263753.77,0.46,nh,fev1,4,Sit Height,False
All,1785,507.48,424970.18,0.26,nh4,fev1,4,Sit Height,False
white,633,433.22,313046.51,0.52,nh4,fev1,4,Sit Height,False
black,372,693.22,736266.60,-0.77,nh4,fev1,4,Sit Height,False
asian,88,677.73,708859.17,-0.56,nh4,fev1,4,Sit Height,False
hispanic,629,439.90,303514.31,0.42,nh4,fev1,4,Sit Height,False
other,63,593.73,527492.85,-0.10,nh4,fev1,4,Sit Height,False
All,471,342.65,196517.01,0.66,nh3_val,fev1,6,Waist Circumference,True
white,209,354.72,219257.47,0.63,nh3_val,fev1,6,Waist Circumference,True
black,110,322.52,159413.19,0.70,nh3_val,fev1,6,Waist Circumference,True
hispanic,126,333.32,184539.65,0.64,nh3_val,fev1,6,Waist Circumference,True
other,26,375.99,228740.41,0.48,nh3_val,fev1,6,Waist Circumference,True
All,144198,425.68,301113.02,0.42,ukb,fev1,6,Waist Circumference,True
white,136520,423.35,298606.37,0.42,ukb,fev1,6,Waist Circumference,True
black,1963,454.51,332986.10,0.16,ukb,fev1,6,Waist Circumference,True
asian,3389,498.50,378934.46,0.03,ukb,fev1,6,Waist Circumference,True
other,2326,432.10,307950.65,0.38,ukb,fev1,6,Waist Circumference,True
All,3354,303.22,217979.92,0.62,nh,fev1,6,Waist Circumference,True
white,1330,280.57,190662.32,0.70,nh,fev1,6,Waist Circumference,True
black,739,337.57,297540.32,0.37,nh,fev1,6,Waist Circumference,True
asian,88,587.69,589230.89,-0.29,nh,fev1,6,Waist Circumference,True
hispanic,1049,282.34,165992.69,0.68,nh,fev1,6,Waist Circumference,True
other,148,314.09,213937.99,0.56,nh,fev1,6,Waist Circumference,True
All,1785,451.78,355362.26,0.38,nh4,fev1,6,Waist Circumference,True
white,633,440.59,325582.53,0.50,nh4,fev1,6,Waist Circumference,True
black,372,543.82,541188.45,-0.30,nh4,fev1,6,Waist Circumference,True
asian,88,587.69,589230.89,-0.29,nh4,fev1,6,Waist Circumference,True
hispanic,629,381.09,237828.53,0.55,nh4,fev1,6,Waist Circumference,True
other,63,536.59,404116.30,0.16,nh4,fev1,6,Waist Circumference,True
All,471,357.59,219059.78,0.62,nh3_val,fev1,5,Waist Circumference,False
white,209,367.56,232059.80,0.61,nh3_val,fev1,5,Waist Circumference,False
black,110,388.86,233894.25,0.56,nh3_val,fev1,5,Waist Circumference,False
hispanic,126,305.31,176315.89,0.66,nh3_val,fev1,5,Waist Circumference,False
other,26,398.39,258941.87,0.41,nh3_val,fev1,5,Waist Circumference,False
All,144198,415.47,287165.27,0.45,ukb,fev1,5,Waist Circumference,False
white,136520,408.05,277644.56,0.46,ukb,fev1,5,Waist Circumference,False
black,1963,551.66,472280.58,-0.19,ukb,fev1,5,Waist Circumference,False
asian,3389,603.96,525262.12,-0.35,ukb,fev1,5,Waist Circumference,False
other,2326,461.39,342829.78,0.31,ukb,fev1,5,Waist Circumference,False
All,3354,345.29,268949.67,0.54,nh,fev1,5,Waist Circumference,False
white,1330,290.94,200062.22,0.69,nh,fev1,5,Waist Circumference,False
black,739,408.29,377209.91,0.20,nh,fev1,5,Waist Circumference,False
asian,88,713.90,782572.45,-0.72,nh,fev1,5,Waist Circumference,False
hispanic,1049,335.98,230785.18,0.55,nh,fev1,5,Waist Circumference,False
other,148,365.92,312542.42,0.36,nh,fev1,5,Waist Circumference,False
All,1785,521.44,444157.27,0.23,nh4,fev1,5,Waist Circumference,False
white,633,451.13,339653.63,0.48,nh4,fev1,5,Waist Circumference,False
black,372,660.61,676809.12,-0.63,nh4,fev1,5,Waist Circumference,False
asian,88,713.90,782572.45,-0.72,nh4,fev1,5,Waist Circumference,False
hispanic,629,470.47,346443.25,0.34,nh4,fev1,5,Waist Circumference,False
other,63,646.28,623298.55,-0.30,nh4,fev1,5,Waist Circumference,False
All,471,341.35,193855.76,0.66,nh3_val,fev1,7,Immigrant,True
white,209,347.27,210127.78,0.65,nh3_val,fev1,7,Immigrant,True
black,110,324.90,154473.69,0.71,nh3_val,fev1,7,Immigrant,True
hispanic,126,347.70,203059.24,0.61,nh3_val,fev1,7,Immigrant,True
other,26,332.60,185068.73,0.58,nh3_val,fev1,7,Immigrant,True
All,144198,427.56,301871.11,0.42,ukb,fev1,7,Immigrant,True
white,136520,426.61,301074.78,0.41,ukb,fev1,7,Immigrant,True
black,1963,424.55,297282.66,0.25,ukb,fev1,7,Immigrant,True
asian,3389,464.94,337907.37,0.13,ukb,fev1,7,Immigrant,True
other,2326,431.67,299977.22,0.40,ukb,fev1,7,Immigrant,True
All,3354,294.88,204668.14,0.65,nh,fev1,7,Immigrant,True
white,1330,275.40,176888.66,0.72,nh,fev1,7,Immigrant,True
black,739,341.55,299618.70,0.37,nh,fev1,7,Immigrant,True
asian,88,566.20,535959.18,-0.18,nh,fev1,7,Immigrant,True
hispanic,1049,267.75,149666.97,0.71,nh,fev1,7,Immigrant,True
other,148,267.93,173052.29,0.65,nh,fev1,7,Immigrant,True
All,1785,438.66,331378.53,0.43,nh4,fev1,7,Immigrant,True
white,633,432.41,299642.17,0.54,nh4,fev1,7,Immigrant,True
black,372,555.46,547587.76,-0.32,nh4,fev1,7,Immigrant,True
asian,88,566.20,535959.18,-0.18,nh4,fev1,7,Immigrant,True
hispanic,629,356.75,207292.55,0.61,nh4,fev1,7,Immigrant,True
other,63,451.58,326716.08,0.32,nh4,fev1,7,Immigrant,True
All,471,346.71,207425.16,0.64,nh3_val,fev1,6,Immigrant,False
white,209,338.55,204783.90,0.66,nh3_val,fev1,6,Immigrant,False
black,110,389.12,236208.55,0.55,nh3_val,fev1,6,Immigrant,False
hispanic,126,319.86,187512.56,0.64,nh3_val,fev1,6,Immigrant,False
other,26,362.87,203380.56,0.54,nh3_val,fev1,6,Immigrant,False
All,144198,414.74,284626.61,0.45,ukb,fev1,6,Immigrant,False
white,136520,408.99,277616.33,0.46,ukb,fev1,6,Immigrant,False
black,1963,527.75,435276.23,-0.10,ukb,fev1,6,Immigrant,False
asian,3389,562.90,460914.92,-0.18,ukb,fev1,6,Immigrant,False
other,2326,441.28,312088.63,0.37,ukb,fev1,6,Immigrant,False
All,3354,324.99,243956.24,0.58,nh,fev1,6,Immigrant,False
white,1330,280.30,189047.60,0.70,nh,fev1,6,Immigrant,False
black,739,393.13,349656.92,0.26,nh,fev1,6,Immigrant,False
asian,88,628.80,670587.31,-0.47,nh,fev1,6,Immigrant,False
hispanic,1049,308.06,201267.62,0.61,nh,fev1,6,Immigrant,False
other,148,325.72,258500.32,0.47,nh,fev1,6,Immigrant,False
All,1785,486.75,400357.73,0.31,nh4,fev1,6,Immigrant,False
white,633,437.55,325588.28,0.50,nh4,fev1,6,Immigrant,False
black,372,627.63,620749.22,-0.49,nh4,fev1,6,Immigrant,False
asian,88,628.80,670587.31,-0.47,nh4,fev1,6,Immigrant,False
hispanic,629,424.50,295516.25,0.44,nh4,fev1,6,Immigrant,False
other,63,572.34,519540.43,-0.08,nh4,fev1,6,Immigrant,False
All,471,343.56,199630.70,0.65,nh3_val,fev1,8,Income:Poverty,True
white,209,358.69,225812.58,0.62,nh3_val,fev1,8,Income:Poverty,True
black,110,326.00,159888.86,0.70,nh3_val,fev1,8,Income:Poverty,True
hispanic,126,335.38,194186.83,0.62,nh3_val,fev1,8,Income:Poverty,True
other,26,335.75,183689.10,0.58,nh3_val,fev1,8,Income:Poverty,True
All,144198,424.07,297283.60,0.43,ukb,fev1,8,Income:Poverty,True
white,136520,422.85,295987.58,0.42,ukb,fev1,8,Income:Poverty,True
black,1963,429.23,306834.35,0.22,ukb,fev1,8,Income:Poverty,True
asian,3389,466.46,342030.12,0.12,ukb,fev1,8,Income:Poverty,True
other,2326,428.99,300094.30,0.40,ukb,fev1,8,Income:Poverty,True
All,3354,290.91,198164.05,0.66,nh,fev1,8,Income:Poverty,True
white,1330,275.44,178563.13,0.72,nh,fev1,8,Income:Poverty,True
black,739,325.75,268186.49,0.43,nh,fev1,8,Income:Poverty,True
asian,88,519.34,455322.56,0.00,nh,fev1,8,Income:Poverty,True
hispanic,1049,269.53,154630.24,0.70,nh,fev1,8,Income:Poverty,True
other,148,271.64,180323.90,0.63,nh,fev1,8,Income:Poverty,True
All,1785,431.40,317740.81,0.45,nh4,fev1,8,Income:Poverty,True
white,633,429.39,298052.11,0.54,nh4,fev1,8,Income:Poverty,True
black,372,523.89,483522.09,-0.16,nh4,fev1,8,Income:Poverty,True
asian,88,519.34,455322.56,0.00,nh4,fev1,8,Income:Poverty,True
hispanic,629,362.43,217405.94,0.59,nh4,fev1,8,Income:Poverty,True
other,63,471.05,346244.76,0.28,nh4,fev1,8,Income:Poverty,True
All,471,348.85,209107.15,0.64,nh3_val,fev1,7,Income:Poverty,False
white,209,346.87,209648.02,0.65,nh3_val,fev1,7,Income:Poverty,False
black,110,388.17,238893.01,0.55,nh3_val,fev1,7,Income:Poverty,False
hispanic,126,316.75,180340.93,0.65,nh3_val,fev1,7,Income:Poverty,False
other,26,353.94,218147.91,0.50,nh3_val,fev1,7,Income:Poverty,False
All,144198,412.29,280556.34,0.46,ukb,fev1,7,Income:Poverty,False
white,136520,406.63,273724.48,0.47,ukb,fev1,7,Income:Poverty,False
black,1963,521.88,423083.60,-0.07,ukb,fev1,7,Income:Poverty,False
asian,3389,558.32,454663.60,-0.17,ukb,fev1,7,Income:Poverty,False
other,2326,439.13,307578.95,0.38,ukb,fev1,7,Income:Poverty,False
All,3354,327.10,247559.21,0.57,nh,fev1,7,Income:Poverty,False
white,1330,281.53,188704.98,0.70,nh,fev1,7,Income:Poverty,False
black,739,392.70,350234.69,0.26,nh,fev1,7,Income:Poverty,False
asian,88,625.41,679550.52,-0.49,nh,fev1,7,Income:Poverty,False
hispanic,1049,312.68,208078.26,0.59,nh,fev1,7,Income:Poverty,False
other,148,333.82,286743.10,0.41,nh,fev1,7,Income:Poverty,False
All,1785,494.70,407634.56,0.29,nh4,fev1,7,Income:Poverty,False
white,633,441.48,324145.91,0.50,nh4,fev1,7,Income:Poverty,False
black,372,636.26,622783.42,-0.50,nh4,fev1,7,Income:Poverty,False
asian,88,625.41,679550.52,-0.49,nh4,fev1,7,Income:Poverty,False
hispanic,629,435.85,309050.19,0.41,nh4,fev1,7,Income:Poverty,False
other,63,598.65,580553.66,-0.21,nh4,fev1,7,Income:Poverty,False
All,471,353.92,203586.02,0.65,nh3_val,fev1,9,High School Graduate,True
white,209,365.74,222962.30,0.63,nh3_val,fev1,9,High School Graduate,True
black,110,345.51,168613.90,0.68,nh3_val,fev1,9,High School Graduate,True
hispanic,126,343.20,203712.64,0.61,nh3_val,fev1,9,High School Graduate,True
other,26,346.39,195175.84,0.56,nh3_val,fev1,9,High School Graduate,True
All,144198,425.33,299697.30,0.42,ukb,fev1,9,High School Graduate,True
white,136520,424.10,298356.01,0.42,ukb,fev1,9,High School Graduate,True
black,1963,433.18,312156.49,0.21,ukb,fev1,9,High School Graduate,True
asian,3389,466.72,344273.95,0.12,ukb,fev1,9,High School Graduate,True
other,2326,430.51,302958.09,0.39,ukb,fev1,9,High School Graduate,True
All,3354,303.29,220463.55,0.62,nh,fev1,9,High School Graduate,True
white,1330,276.01,179650.32,0.72,nh,fev1,9,High School Graduate,True
black,739,358.76,329708.45,0.30,nh,fev1,9,High School Graduate,True
asian,88,611.81,617485.59,-0.36,nh,fev1,9,High School Graduate,True
hispanic,1049,275.76,165028.43,0.68,nh,fev1,9,High School Graduate,True
other,148,283.11,198592.62,0.59,nh,fev1,9,High School Graduate,True
All,1785,452.89,358837.88,0.38,nh4,fev1,9,High School Graduate,True
white,633,430.71,301776.62,0.54,nh4,fev1,9,High School Graduate,True
black,372,583.90,603304.73,-0.45,nh4,fev1,9,High School Graduate,True
asian,88,611.81,617485.59,-0.36,nh4,fev1,9,High School Graduate,True
hispanic,629,371.64,232956.96,0.56,nh4,fev1,9,High School Graduate,True
other,63,491.37,384174.43,0.20,nh4,fev1,9,High School Graduate,True
All,471,353.86,211227.15,0.63,nh3_val,fev1,8,High School Graduate,False
white,209,353.38,208467.74,0.65,nh3_val,fev1,8,High School Graduate,False
black,110,382.56,227045.76,0.57,nh3_val,fev1,8,High School Graduate,False
hispanic,126,331.38,201487.00,0.61,nh3_val,fev1,8,High School Graduate,False
other,26,345.29,213685.90,0.51,nh3_val,fev1,8,High School Graduate,False
All,144198,415.59,287136.12,0.45,ukb,fev1,8,High School Graduate,False
white,136520,409.05,279266.73,0.46,ukb,fev1,8,High School Graduate,False
black,1963,544.58,453956.74,-0.15,ukb,fev1,8,High School Graduate,False
asian,3389,581.06,482526.15,-0.24,ukb,fev1,8,High School Graduate,False
other,2326,449.22,323542.89,0.35,ukb,fev1,8,High School Graduate,False
All,3354,339.62,273762.35,0.53,nh,fev1,8,High School Graduate,False
white,1330,288.25,205624.10,0.68,nh,fev1,8,High School Graduate,False
black,739,414.04,394476.44,0.17,nh,fev1,8,High School Graduate,False
asian,88,695.56,807079.22,-0.77,nh,fev1,8,High School Graduate,False
hispanic,1049,323.13,226307.59,0.56,nh,fev1,8,High School Graduate,False
other,148,335.01,302575.31,0.38,nh,fev1,8,High School Graduate,False
All,1785,516.41,456201.77,0.21,nh4,fev1,8,High School Graduate,False
white,633,454.62,360292.73,0.45,nh4,fev1,8,High School Graduate,False
black,372,677.82,713663.99,-0.72,nh4,fev1,8,High School Graduate,False
asian,88,695.56,807079.22,-0.77,nh4,fev1,8,High School Graduate,False
hispanic,629,449.58,335034.49,0.36,nh4,fev1,8,High School Graduate,False
other,63,601.15,619241.07,-0.29,nh4,fev1,8,High School Graduate,False
All,471,351.56,200767.99,0.65,nh3_val,fev1,10,Smoke Exposure,True
white,209,359.20,214455.37,0.64,nh3_val,fev1,10,Smoke Exposure,True
black,110,336.28,170368.07,0.68,nh3_val,fev1,10,Smoke Exposure,True
hispanic,126,344.27,198008.40,0.62,nh3_val,fev1,10,Smoke Exposure,True
other,26,390.14,232731.01,0.47,nh3_val,fev1,10,Smoke Exposure,True
All,144198,428.21,301711.60,0.42,ukb,fev1,10,Smoke Exposure,True
white,136520,426.76,300126.21,0.42,ukb,fev1,10,Smoke Exposure,True
black,1963,442.07,318915.56,0.19,ukb,fev1,10,Smoke Exposure,True
asian,3389,477.70,357545.08,0.08,ukb,fev1,10,Smoke Exposure,True
other,2326,429.76,298894.20,0.40,ukb,fev1,10,Smoke Exposure,True
All,3354,302.41,215053.75,0.63,nh,fev1,10,Smoke Exposure,True
white,1330,273.97,175403.79,0.73,nh,fev1,10,Smoke Exposure,True
black,739,338.73,292514.02,0.38,nh,fev1,10,Smoke Exposure,True
asian,88,564.40,549429.04,-0.21,nh,fev1,10,Smoke Exposure,True
hispanic,1049,290.82,180688.70,0.65,nh,fev1,10,Smoke Exposure,True
other,148,303.06,229345.69,0.53,nh,fev1,10,Smoke Exposure,True
All,1785,453.75,349680.40,0.39,nh4,fev1,10,Smoke Exposure,True
white,633,430.11,295896.07,0.55,nh4,fev1,10,Smoke Exposure,True
black,372,549.55,529270.36,-0.27,nh4,fev1,10,Smoke Exposure,True
asian,88,564.40,549429.04,-0.21,nh4,fev1,10,Smoke Exposure,True
hispanic,629,398.83,260501.85,0.50,nh4,fev1,10,Smoke Exposure,True
other,63,519.44,441004.81,0.08,nh4,fev1,10,Smoke Exposure,True
All,471,354.46,209309.35,0.64,nh3_val,fev1,9,Smoke Exposure,False
white,209,345.38,202641.67,0.66,nh3_val,fev1,9,Smoke Exposure,False
black,110,391.69,233203.82,0.56,nh3_val,fev1,9,Smoke Exposure,False
hispanic,126,338.30,197788.18,0.62,nh3_val,fev1,9,Smoke Exposure,False
other,26,348.16,217648.64,0.50,nh3_val,fev1,9,Smoke Exposure,False
All,144198,415.58,287592.18,0.45,ukb,fev1,9,Smoke Exposure,False
white,136520,409.68,280550.07,0.45,ukb,fev1,9,Smoke Exposure,False
black,1963,533.37,437373.67,-0.10,ukb,fev1,9,Smoke Exposure,False
asian,3389,565.92,465289.92,-0.19,ukb,fev1,9,Smoke Exposure,False
other,2326,443.88,315601.72,0.36,ukb,fev1,9,Smoke Exposure,False
All,3354,345.44,277056.10,0.52,nh,fev1,9,Smoke Exposure,False
white,1330,296.86,208068.75,0.67,nh,fev1,9,Smoke Exposure,False
black,739,421.28,402460.21,0.15,nh,fev1,9,Smoke Exposure,False
asian,88,698.02,820282.25,-0.80,nh,fev1,9,Smoke Exposure,False
hispanic,1049,325.45,228162.05,0.56,nh,fev1,9,Smoke Exposure,False
other,148,335.31,294390.67,0.40,nh,fev1,9,Smoke Exposure,False
All,1785,525.95,462519.92,0.20,nh4,fev1,9,Smoke Exposure,False
white,633,472.52,366832.34,0.44,nh4,fev1,9,Smoke Exposure,False
black,372,688.21,727149.70,-0.75,nh4,fev1,9,Smoke Exposure,False
asian,88,698.02,820282.25,-0.80,nh4,fev1,9,Smoke Exposure,False
hispanic,629,451.92,338682.81,0.35,nh4,fev1,9,Smoke Exposure,False
other,63,603.27,598050.42,-0.24,nh4,fev1,9,Smoke Exposure,False
