target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper
fev1,baseline,sex,,Intercept,4973.497254485546,61.650454920640705,80.67251508342737,0.0,4852.582869750637,5094.411639220456
fev1,baseline,sex,,sex[T.True],-935.4451949109532,24.21024054650875,-38.638409771845474,4.602314563743041e-238,-982.9284834565691,-887.9619063653373
fev1,baseline,sex,,age,-29.369998845906593,1.0821622749858084,-27.14010599407723,3.6856351414773055e-136,-31.492432262361895,-27.247565429451292
fev1,NA,age,,Intercept,4973.497254485546,61.650454920640705,80.67251508342737,0.0,4852.582869750637,5094.411639220456
fev1,NA,age,,sex[T.True],-935.4451949109532,24.21024054650875,-38.638409771845474,4.602314563743041e-238,-982.9284834565691,-887.9619063653373
fev1,NA,age,,age,-29.369998845906593,1.0821622749858084,-27.14010599407723,3.6856351414773055e-136,-31.492432262361895,-27.247565429451292
fev1,outcomes,fev1,,Intercept,4.636291350834654e-13,2.1797318709580502e-13,2.1270007621611184,0.033556432573666216,3.612046872551711e-14,8.911378014414136e-13
fev1,outcomes,fev1,,sex[T.True],1.3500311979441904e-13,5.384536284897499e-14,2.507237627371453,0.012255848382297034,2.9396739634424905e-14,2.4060949995441317e-13
fev1,outcomes,fev1,,age,4.579669976578771e-15,2.111532549226197e-15,2.1688843860148213,0.030222744525430233,4.383419714313751e-16,8.720997981726166e-15
fev1,outcomes,fev1,,fev1,1.0,3.8810789322974064e-17,2.5766030978608556e+16,0.0,0.9999999999999999,1.0
fev1,outcomes,fvc,,Intercept,671.7040866311941,39.134399196145075,17.16403216680429,2.9940257104313364e-61,594.9501746846291,748.457998577759
fev1,outcomes,fvc,,sex[T.True],-38.9996882690261,10.426060889168367,-3.7405966341077934,0.00018936557205525631,-59.448218868049096,-18.551157670003107
fev1,outcomes,fvc,,age,-7.050912485234653,0.3851293571028816,-18.30790708419329,9.112108373059556e-69,-7.806262902522356,-6.29556206794695
fev1,outcomes,fvc,,fvc,0.7177459593129745,0.005659650331269668,126.81807484596978,0.0,0.7066457428257514,0.7288461758001975
fev1,outcomes,fev1,fvc,Intercept,4640.930291547578,230.66534495336998,20.119755277871338,2.486782951399344e-81,4188.528620911507,5093.33196218365
fev1,outcomes,fev1,fvc,sex[T.True],-940.8801199079909,24.472970982343067,-38.445684448644336,2.8845934083071367e-236,-988.8787170101186,-892.8815228058631
fev1,outcomes,fev1,fvc,age,-28.8408039570654,1.1381434762470963,-25.340218135032323,2.5691390474451013e-121,-31.0730335543715,-26.608574359759302
fev1,outcomes,fev1,fvc,fev1_fvc,0.38659738891151085,0.25839254779577014,1.4961630751714714,0.13478744980639282,-0.12018537174266897,0.8933801495656907
fev1,anthropometrics,height,,Intercept,4433.94701978356,58.70796110989853,75.52548131391279,0.0,4318.8036735165915,4549.090366050528
fev1,anthropometrics,height,,sex[T.True],-487.55535038871506,28.57563077556754,-17.061927843971862,1.3508761180501015e-60,-543.6004537611341,-431.51024701629603
fev1,anthropometrics,height,,age,-24.556308102120845,0.9696256251305226,-25.32555603490294,3.3784089319196895e-121,-26.45802529674005,-22.65459090750164
fev1,anthropometrics,height,,height,331.7353596476595,14.19351005530138,23.372327095632972,1.1649039701216403e-105,303.89776808180767,359.5729512135113
fev1,anthropometrics,weight,,Intercept,4920.997089191403,62.30517989723045,78.98215039758111,0.0,4798.798553123984,5043.195625258822
fev1,anthropometrics,weight,,sex[T.True],-896.9706038468132,25.42822074781352,-35.27461133606607,2.137921339503135e-207,-946.8427229115093,-847.0984847821171
fev1,anthropometrics,weight,,age,-28.84503070899332,1.081673556754669,-26.667038801925315,3.305937415764147e-132,-30.966506409027925,-26.723555008958716
fev1,anthropometrics,weight,,weight,58.42908356903912,12.454233340231555,4.691503842335491,2.917775257222307e-06,34.0027183048889,82.85544883318934
fev1,anthropometrics,bmi,,Intercept,4977.244305622096,61.43524903980344,81.01610042139451,0.0,4856.751956382687,5097.7366548615055
fev1,anthropometrics,bmi,,sex[T.True],-933.1536736576718,24.13028107820346,-38.671479649715984,2.472800208298156e-238,-980.4801564238804,-885.8271908914631
fev1,anthropometrics,bmi,,age,-29.463279612612087,1.0785291275773323,-27.31801938330082,1.2257029845465539e-137,-31.578588174651554,-27.34797105057262
fev1,anthropometrics,bmi,,bmi,-43.98287184789391,11.73508286225367,-3.7479813618842397,0.00018391987657732619,-66.99877435812807,-20.966969337659744
fev1,anthropometrics,arm_circ,arm_circ,Intercept,4979.807739796935,62.45455279220686,79.73490349639202,0.0,4857.316240140864,5102.299239453006
fev1,anthropometrics,arm_circ,arm_circ,sex[T.True],-938.5826203464937,24.71204837359445,-37.98076979120019,5.1542040495352075e-232,-987.0501175828628,-890.1151231101247
fev1,anthropometrics,arm_circ,arm_circ,age,-29.449576830069244,1.0895563766565663,-27.028961016628422,3.2111654739764163e-135,-31.58651302718746,-27.312640632951027
fev1,anthropometrics,arm_circ,arm_circ,arm_circ,-7.700643737570835,12.112770139856075,-0.6357458821275325,0.5250233344996955,-31.457300587820228,16.056013112678556
fev1,anthropometrics,arm_len,arm_len,Intercept,4836.542625284796,60.0975967631033,80.47813699356067,0.0,4718.673800289272,4954.4114502803195
fev1,anthropometrics,arm_len,arm_len,sex[T.True],-738.3046625008577,27.997043813201884,-26.37080784053041,9.378572591703798e-130,-793.2149889589753,-683.3943360427402
fev1,anthropometrics,arm_len,arm_len,age,-29.072730399013967,1.037754861378092,-28.015026940376536,1.6391388015089795e-143,-31.10806879409478,-27.037392003933153
