target,group,cov,val,index,coef,std_err,t,p,ci_lower,ci_upper
fev1,demographics,hs_grad,hs_grad,Intercept,4818.55246389848,46.33561328070939,103.99241798542369,0.0,4727.70359485615,4909.40133294081
fev1,demographics,hs_grad,hs_grad,sex[T.True],-965.745107932058,17.86252141120229,-54.065441585777535,0.0,-1000.7676263267318,-930.7225895373841
fev1,demographics,hs_grad,hs_grad,hs_grad[T.True],113.14875750225765,17.336367441091934,6.526670473888558,7.73655688878193e-11,79.15785366369367,147.13966134082165
fev1,demographics,hs_grad,hs_grad,age,-26.77757680325516,0.7581792828841641,-35.31826496418036,1.1998932791741722e-232,-28.264116540283474,-25.29103706622685
fev1,admin,psu,,Intercept,5000.015806831937,50.82425460385149,98.3785368974803,0.0,4900.366191260718,5099.665422403156
fev1,admin,psu,,sex[T.True],-974.8410265536841,17.892594077507795,-54.48293424256047,0.0,-1009.9225075373797,-939.7595455699884
fev1,admin,psu,,age,-27.520994717651615,0.7549877330257722,-36.45224089582945,1.9710015895833223e-245,-29.00127687709332,-26.040712558209908
fev1,admin,psu,,psu,-47.87202798850449,15.960022509767926,-2.9994962700839323,0.0027241144810208812,-79.16437295259283,-16.579683024416155
fev1,anthropometrics,bmi,,Intercept,4937.416601144237,43.433158073582874,113.67850785290457,0.0,4852.258490340413,5022.57471194806
fev1,anthropometrics,bmi,,sex[T.True],-971.7201882739215,17.756473453009924,-54.724841103468314,0.0,-1006.5347815677089,-936.9055949801341
fev1,anthropometrics,bmi,,age,-27.769654840407576,0.7497754963097626,-37.037293132522976,4.26947209219781e-252,-29.239717521195537,-26.299592159619614
fev1,anthropometrics,bmi,,bmi,-67.55456262035109,8.526260474587124,-7.923117387945195,3.1231915742520584e-15,-84.27174982113101,-50.837375419571174
fev1,anthropometrics,arm_len,arm_len,Intercept,4804.133530108841,43.49015511196094,110.46485159091966,0.0,4718.863666894533,4889.403393323149
fev1,anthropometrics,arm_len,arm_len,sex[T.True],-815.5493803779391,20.980258487316586,-38.87222747379264,2.8180935260273913e-273,-856.684753816106,-774.4140069397722
fev1,anthropometrics,arm_len,arm_len,age,-27.167781039643494,0.7357961776982235,-36.92297114756959,8.632652980749451e-251,-28.610434883126402,-25.725127196160585
fev1,anthropometrics,arm_len,arm_len,arm_len,137.86813652011918,10.075215181062156,13.683890025422242,1.612528393483353e-41,118.11395955450028,157.6223134857381
fev1,anthropometrics,arm_circ,arm_circ,Intercept,4949.145045386944,44.36026114920588,111.56708543127098,0.0,4862.169190952627,5036.1208998212605
fev1,anthropometrics,arm_circ,arm_circ,sex[T.True],-986.751325679077,18.176225126722674,-54.28802288701607,0.0,-1022.3889136876297,-951.1137376705243
fev1,anthropometrics,arm_circ,arm_circ,age,-27.807790156198333,0.760692312417561,-36.555897440086156,1.3099069016084589e-246,-29.29925711604327,-26.316323196353395
fev1,anthropometrics,arm_circ,arm_circ,arm_circ,-31.218561600495878,8.798853403687412,-3.5480261084259963,0.00039344075324282586,-48.470213709890864,-13.966909491100893
fev1,anthropometrics,weight,,Intercept,4889.777510483567,44.7130059265801,109.35917657857105,0.0,4802.110039777963,4977.444981189172
fev1,anthropometrics,weight,,sex[T.True],-953.4387025807971,18.951341494617182,-50.30982650234052,0.0,-990.5960383689422,-916.281366792652
fev1,anthropometrics,weight,,age,-27.12260541383756,0.760541744794108,-35.66221788546285,1.6613785696680755e-236,-28.613777160188246,-25.631433667486878
fev1,anthropometrics,weight,,weight,31.853547514267856,9.174833600829514,3.4718392616284524,0.0005234259508356586,13.86472213200086,49.842372896534854
fev1,demographics,hh_size,hh_size,Intercept,5054.290065781332,46.73930980800429,108.13788407538196,0.0,4962.649680875838,5145.930450686825
fev1,demographics,hh_size,hh_size,sex[T.True],-979.9299392246525,17.773762604544356,-55.13351117754359,0.0,-1014.7784308474442,-945.0814476018608
fev1,demographics,hh_size,hh_size,age,-29.778659084480584,0.8086460534709615,-36.8253316227307,1.12207754002244e-249,-31.3641475287215,-28.193170640239668
fev1,demographics,hh_size,hh_size,hh_size,-70.21329627047069,9.20588214171643,-7.627003603739324,3.108394409190123e-14,-88.26299761024153,-52.16359493069986
fev1,outcomes,fvc,,Intercept,724.9420003845748,29.212391072314254,24.816250014933946,5.678344950278579e-125,667.6661276155204,782.2178731536293
fev1,outcomes,fvc,,sex[T.True],-60.3728844397125,8.10339018061343,-7.450324258623105,1.177709923768741e-13,-76.26096233904929,-44.48480654037571
fev1,outcomes,fvc,,age,-7.055103055627958,0.2786338735874347,-25.32033512219067,1.3300701547849564e-129,-7.601412265758576,-6.50879384549734
fev1,outcomes,fvc,,fvc,0.7108307473222675,0.004296623672161438,165.43937788358377,0.0,0.7024064841329232,0.7192550105116118
fev1,NA,age,,Intercept,4922.363548953388,43.788659348200106,112.41183498703569,0.0,4836.508426506034,5008.218671400742
fev1,NA,age,,sex[T.True],-975.2073319128978,17.913456822648868,-54.43992980070128,0.0,-1010.3297140971591,-940.0849497286364
fev1,NA,age,,age,-27.458609043956766,0.75559877342896,-36.34019801189947,3.5895087235101606e-244,-28.94008909334496,-25.977128994568574
fev1,outcomes,fev1,,Intercept,1.2967404927621828e-13,6.298543184645766e-13,0.20587943191741606,0.8368975686782969,-1.1052627184164033e-12,1.3646108169688399e-12
fev1,outcomes,fev1,,sex[T.True],9.992007221626409e-13,1.6200644406371983e-13,6.167660354113066,7.755749952054947e-10,6.815594700312917e-13,1.31684197429399e-12
